,date,title,contents
0,2020-01-01,[솔로이코노미 동향] SSG닷컴 새벽 배송 서울 전역으로 확대·GS25 택배 전용...,"(사진=SSG닷컴) GS25, 실시간 배송 조회 가능한 편의점 '택배 전용 앱' 출시 GS리테일이 운영하는 편의점 GS25가 편의점 택배 전용 애플리케이션을(이하 GS25 택배 앱) 선보였다. GS25가 이번에 선보인 GS25 택배 앱은 택배..."
1,2020-01-01,"GS25, 택배예약·실시간 배송조회·편의점 위치 검색 서비스 가능한 편의점 택...",GS리테일이 운영하는 편의점 GS25가 편의점 택배 전용 애플리케이션을(이하 GS25 택배 앱) 선보였다. GS25가 이번에 선보인 GS25 택배 앱은 택배 서비스의 접수부터 도착까지 전 과정을 실시간으로 확인할 수 있는 통합...
2,2020-01-01,[새 출발 2020 다시 뛰는 기업들] GS 허태수 회장 '원년'…美 실리콘밸리에 벤...,"GS칼텍스, GS리테일, GS홈쇼핑 등 GS계열사가 함께 GWG(Grow with GS)프로그램을 진행해 대기업과 스타트업 상생협력 모델을 구축해왔다. 앞서 GS홈쇼핑은 2011년부터 스타트업을 발굴·협업해왔다. 업무 연관성이 높은 국내..."
3,2020-01-01,"편의점, 도시락에 지역 맛집 담았다…매출도 '효자'",1일 업계에 따르면 GS리테일이 운영하는 편의점 GS25는 전국 팔도 맛집과 손잡고 차례로 신제품을 선보이고 있다. 팔도 맛집 시리즈 첫 타자로 경기도 가평에 있는 25년 전통의 장어 전문점 '왕장어촌'과 손잡고...
4,2020-01-01,"GS25, 택배예약·실시간 배송조회 등 서비스 강화...택배 전용 앱 출시",GS리테일이 운영하는 편의점 GS25가 편의점 택배 전용 애플리케이션을(이하 GS25 택배 앱) 선보였다고 31일 밝혔다. GS25가 이번에 선보인 GS25 택배 앱은 택배 서비스의 접수부터 도착까지 전 과정을 실시간으로 확인할 수...
5,2020-01-01,300만원대 설 선물세트가 편의점에?,/ 사진=GS리테일 GS25는 이번 설 명절 한정 수량 상품으로 슈퍼프리미엄 와인 5종을 선보였다. 전세계 최고가를 자랑하는 3800만원짜리 와인 로마네꽁띠2013과 프랑스 최고의 와인으로 평가 받는 샤또 1등급 와인...
6,2020-01-01,[2020 유통 전망] '횰로' 소비가 만든 '무인화·편리미엄',GS리테일이 운영하는 밀키트 브랜드 심플리쿡도 올초부터 오프라인 판매 채널을 확대하고 있다. 한국야쿠르트의 밀키트 브랜드 ‘잇츠온’은 최근 1인용 밀키트 10종을 추가했다. 농림축산식품부와...
7,2020-01-01,내실 다지며 공격 경영… 에너지-유통-건설 강자로,2010년에는 편의점과 슈퍼에 집중하기 위해 GS리테일의 백화점과 마트 부문을 매각하기도 했다. 허 명예회장은 공격 경영의 하나로 글로벌 경영을 추진했다. 2011년 9월 중국 산둥성 칭다오에서 열린 GS그룹 사장단...
8,2020-01-01,[편리미엄] 손가락 하나 ‘까딱’…총알배송·진수성찬이 ‘뚝딱’,"2019년 들어서도 GS리테일과 신세계그룹 통합 온라인몰인 쓱닷컴(SSG.COM)이 각각 2월과 6월 뛰어들었고, 롯데홈쇼핑·현대홈쇼핑·CJ(씨제이)오쇼핑 등 홈쇼핑업체들이 7~9월 차례로 진출했다. 2015년 100억원 정도였던..."
9,2020-01-02,"GS25 출범 30돌… ""眞心을 담아 보답""","내부에서는 운영사 GS리테일의 오프라인 점포를 총괄하는 플랫폼 비즈니스 유닛을 신설해 시너지를 창출하고 업계를 초월한 경쟁에 선제적으로 대응할 계획이다. 조윤성 GS리테일 사장은 ""GS25 출범 30주년을 맞아..."
10,2020-01-02,서른 살 GS25 “새해 ‘진심’을 나눌게요”,GS리테일은 2일 편의점 GS25가 출범한 지 30돌을 맞이해 새해의 핵심 메시지로 ‘진심’을 선정했다고 밝혔다. GS25의 시작은 1990년 12월 서울 동대문구에 문 연 ‘LG25 경희점’이었다. GS리테일에 따르면 1990년...
11,2020-01-02,"[OBS 비즈투데이] 정의선 ""미래시장 리더십 확보…5년간100조 투자"" 外","GS리테일이 운영하는 편의점 GS25가 올해로 출범 30주년을 맞았습니다. GS25는 1990년 12월 서울 경희대 앞에 문을 연 'LG25 경희점'이 시초인데요. 지난 30년간 성장하며 누적 방문객 200억 명, 하루 평균 550만 명을 기록하며..."
12,2020-01-02,"서른살된 토종 편의점 GS25 ""O2O 기반 유통업 주도할 것""",이를 위해 GS리테일의 오프라인 점포를 총괄하는 ‘플랫폼 비즈니스 유닛’ 부문을 신설한다. 1만3000여 개 점포를 온·오프라인 연계(O2O) 플랫폼으로 키우겠다는 전략이다. 국내 편의점 브랜드인 GS25는 1990년 12월...
