,date,title,contents
0,2020-01-01,경자년 유통업계 '쥐띠 CEO' 행보 관심,"김형종 현대백화점 사장, 장재영 신세계인터내셔날 사장, 이동우 롯데하이마트 사장이 1960년생 동갑이다. 현대백화점그룹은 2020년1월1일 사장단 인사를 통해 김형종 한섬 대표이사(사장)를 백화점 대표이사(사장)로..."
1,2020-01-01,"[정해균의 Zoom-人] 한 눈에 보는 쥐띠 CEO ""올해 주인공은 나야 나""","이동우 롯데하이마트 사장, 조경수 롯데푸드 대표, 이관순 한미약품 부회장, 성석제 제일약품 대표, 엄기안 휴온스 대표, 안재만 국제약품 대표, 박필준 화일약품 대표, 이대훈 NH농협은행장, 이동빈 Sh수협은행장..."
2,2020-01-01,4차 산업혁명 코앞… '디지털 혁신' 속도 내는 재계,"올해 상반기에는 롯데백화점, 롯데마트, 롯데하이마트, 롯데홈쇼핑, 롭스, 롯데프레시, 롯데닷컴 등의 통합 온라인몰인 '롯데ON'이 출범할 예정이다. 두산그룹은 4차 산업혁명 시대를 맞이해 5G 기기 소재, 무인 운반차..."
3,2020-01-01,경자년 '쥐띠' CEO 200여명…절반 이상 '1960년생',"이원희 현대차 사장과 이건용 현대로템 사장, 이동우 롯데하이마트 사장, 조경수 롯데푸드 사장, 하만덕 미래에셋생명 부회장, 장재영 신세계인터내셔날 사장, 여승주 한화생명 사장, 김형종 현대백화점 사장..."
4,2020-01-01,[비상(飛上) 2020] 경자년 유통/식음료 '쥐띠' CEO 행보 주목,'장수 CEO'란 타이틀를 갖고 있는 롯데하이마트의 이동우 대표는 올해 온라인의 위협에 대응키 위한 전략으로 '프리미엄 가전 및 자체 브랜드제품 매출 활성화'를 내세운다는 방침이다. '옴니스토어'도 강화한다....
5,2020-01-01,"""올해 주인공은 나야 나""…경자년 이끌 쥐띠 유통 인사는?","CJ그룹 총수인 이재현 회장을 비롯해 채형석 애경그룹 총괄부회장, 김형종 현대백화점 사장, 장재영 신세계인터내셔날 사장, 이동우 롯데하이마트 사장, 조경수 롯데푸드 대표, 허인철 오리온그룹 부회장 등이..."
6,2020-01-01,쥐띠 올해 승전보 울릴까?,"◇60년생 이재현-정현식, 경자년 ‘위기돌파’ 원년 유통 분야에서는 이재현 CJ그룹 회장을 비롯해 김형준 현대백화점 대표, 이동우 롯데하이마트 대표, 조경수 롯데푸드 대표, 정현식 해마로푸드 대표 등이 60년생..."
7,2020-01-01,"[2020 유통 키워드] '고군분투' 유통 수장, 경영능력 검증 한 해","롯데쇼핑은 특히, 롯데백화점·롯데마트·롯데슈퍼·롯데홈쇼핑·롯데하이마트·롭스·롯데닷컴 등 7개 사업부문의 온라인몰을 통합하는 ‘롯데ON’을 2020년 상반기 중 선보일 예정이다. ‘롯데ON’은 3800만명의 멤버스..."
8,2020-01-01,[표](30일기준) 코스피 공매도 특징주 Top 25 (전일 장마감 한국거래소 기준),"▲ (22위) 롯데하이마트 공매도 비중 : 18.54% (30일 장마감기준(주가), 공매도거래대금/총거래대금=351백만원/1894백만원), 롯데하이마트 공매도 거래대금 증가율 : 1.8(배). 직전40일 공매도 비중 평균 :8.72..."
9,2020-01-01,"공룡 유통사, 온라인몰 역량 강화 `올인`",롯데는 1월 국내 가전 유통매장 중 최대인 7260㎡(약 2000평) 규모로 문을 여는 롯데하이마트 잠실점을 시작으로 다양한 가전제품을 직접 체험할 수 있는 초대형 메가스토어를 연내 잇달아 오픈한다. 현대백화점그룹은...
10,2020-01-02,"롯데하이마트, ‘mom편한 하이드림’ 사회공헌 프로젝트 확대",롯데하이마트는 여성과 아동을 대상으로 하는 사회공헌활동인 ’mom편한 하이드림(Hi Dream)’을 확대 운영한다고 2일 밝혔다. mom편한 하이드림은 여성과 아동이 꿈을 이루는 데 도움이 되는 가전제품을 지원하는...
11,2020-01-02,"롯데하이마트, '맘편한 하이드림' 연 4회→6회 운영",롯데하이마트가 여성과 아동에게 가전제품을 지원하는 사회공헌활동 '맘(mom) 편한 하이드림(Hi Dream)'을 기존 연 4회에서 연 6회로 확대 운영합니다. 롯데하이마트는 이번달 31일까지 롯데 CSV 홈페이지에서 사연을 공개...
12,2020-01-02,유통가 쥐띠 CEO ‘이재현·채형석·정지선·정유경’…2020년 과제는?,이외에 2015년부터 롯데하이마트를 이끌고 있는 이동우 대표 역시 1960년생이다. 지난해 실적 악화에도 그간의 경영능력을 인정받아 다시 한 번 자리를 지켰다. 온라인 채널 공세에 시달리고 있는 롯데하이마트는 지난해...
13,2020-01-02,"유통업종 매출 회복 움직임, 백화점·면세점 개선 기대-유진證",자회사 롯데하이마트도 매출 부진과 판관비 증가로 전년 동기 대비 영업이익 감소가 예상된다. 다만 지난해 4분기 일회성 기저(청두HK 및 점포 구조조정 비용 총 914억원)가 존재했던 만큼 전년 동기 대비 영업이익이 큰...
14,2020-01-02,"[가전오늘] 권봉석 LG전자 ""디지털 전환 가속화해 변화 통한 성장 도모""…전자...","롯데하이마트, 'mom편한 하이드림' 사회공헌 프로젝트 확대 시행 롯데하이마트는 여성과 아동을 대상으로 하는 사회공헌활동인 'mom편한 하이드림'(Hi Dream)을 확대 운영한다고 2일 밝혔다. mom편한 하이드림(Hi Dream)은..."
15,2020-01-02,"롯데하이마트, ‘mom편한 하이드림(Hi Dream)’ 사회공헌 프로젝트 확대 시행",롯데하이마트(대표 이동우)가 여성과 아동을 대상으로 하는 사회공헌활동인 ’mom편한 하이드림(Hi Dream)’을 확대 운영한다. mom편한 하이드림(Hi Dream)’은 여성과 아동이 꿈을 이루는 데 도움이 되는 가전제품을...
16,2020-01-02,"롯데하이마트, 맘편한 하이드림 사회공헌 프로젝트 확대",롯데하이마트가 여성과 아동을 대상으로 하는 사회공헌활동인 '맘(mom)편한 하이드림(Hi Dream)'을 확대 운영한다고 2일 밝혔다. mom편한 하이드림은 여성과 아동이 꿈을 이루는 데 도움이 되는 가전제품을 지원하는...
17,2020-01-02,"롯데하이마트, 사회공헌 '맘편한 하이드림' 확대 운영","롯데하이마트, 사회공헌 '맘편한 하이드림' 확대 운영 롯데하이마트가 여성과 아동을 대상으로 하는 사회공헌활동인 ’맘편한 하이드림’을 확대 운영한다고 2일 밝혔다. 맘편한 하이드림은 여성과 아동이 꿈을 이루는..."
18,2020-01-02,"하이마트, 여성·아동 가전제품 지원 'mom편한 하이드림' 확대",포쓰저널 성은숙 [포쓰저널=] 롯데하이마트(대표 이동우)가 여성과 아동을 대상으로 하는 사회공헌활동인 ’mom편한 하이드림(Hi Dream)’을 확대 운영한다고 2일 밝혔다. mom편한 하이드림은 여성과 아동이 꿈을 이루는...
19,2020-01-02,"롯데하이마트, 'mom편한 하이드림' 프로젝트 확대","롯데하이마트, 'mom편한 하이드림' 프로젝트 확대 롯데하이마트가 여성과 아동을 대상으로 하는 사회공헌활동인 'mom편한 하이드림(Hi Dream)'을 확대 운영한다. mom편한 하이드림은 여성과 아동이 꿈을 이루는 데 도움이..."
20,2020-01-03,"'다리미계 샤넬' 로라스타, 롯데하이마트 메가스토어 브랜드관 오픈",999% 제거하는 의류관리기를 선보이며 필수가전 반열에 오른 스위스 프리미엄 다리미 브랜드 로라스타가 롯데하이마트 메가스토어에 입성했다. 초대형 프리미엄 매장인 롯데하이마트 메가스토어는 기존에 집중했던 상품...
21,2020-01-03,"사운드캣, 잠실 롯데하이마트 메가스토어에 브랜드관 오픈",▲ 사운드캣 잠실 메가스토어 입점©사운드캣 프리미엄 음향기기 전문업체 사운드캣이 롯데하이마트 잠실점 메가스토어에 입점한다. 사운드캣 잠실 메가스토어점은 음향기기 전문 멀티 브랜드샵이다. 정식 오픈을...
22,2020-01-03,"[CSR NOW] 롯데하이마트·유진그룹·IBK연금보험, “뜻 깊은 새해맞이”",의미있는 발걸음으로 세상에 온기를 전하고 있는 기업들의 모습을 뷰어스가 조명합니다-편집자주롯데하이마트가 여성과 아동을 대상으로 하는 사회공헌활동인 ’mom편한 하이드림’을 확대 운영한다.■ 유진그룹...
23,2020-01-03,"롯데하이마트, 'mom편한 하이드림' 사회공헌 프로젝트 확대 시행",롯데하이마트가 여성과 아동을 대상으로 하는 사회공헌활동인 'mom편한 하이드림(Hi Dream)'을 확대 운영한다. [사진 롯데하이마트] ［뉴시안=이석구 기자] 롯데하이마트가 여성과 아동을 대상으로 하는 사회공헌활동인...
