,date,title,contents,label
0,2020-01-01,[솔로이코노미 동향] SSG닷컴 새벽 배송 서울 전역으로 확대·GS25 택배 전용...,"SSG닷컴은 백화점 식품관을 신설해 신세계백화점을 비롯한 '국내 5대 백화점'에서 구매할 수 있는 900종의 상품을 선별, 일반배송은 물론 새벽배송으로 구입할 수 있도록 했다. 이로써 SSG닷컴 새벽배송으로 주문할 수...",0
1,2020-01-01,"김해인재육성장학재단, 작년 최고 모금","2년 연속 3천만 원씩 기탁한 신세계백화점 김해점, 2년 연속 1천만 원씩을 기탁한 ㈜아이액츠 등이다. 3년간 1억 원 기탁을 약속한 농협 김해시지부도 마지막 4천만 원을 전달했으며, 대한전문건설협회...",0
2,2020-01-01,"'마데카크림' 유명한 동국제약, 건강기능식품 브랜드 '동영제' 론칭","동국제약 헬스케어사업부 제품은 롯데, 현대, 신세계백화점 등에 입점해 있는 48개 '동영제 매장'에서 만나 볼 수 있다. 이들 매장에서는 다이어트 및 면역력 강화를 위한 제품과 보스웰리아, 리프리놀 등을 원료로 사용한...",0
3,2020-01-01,"수미네 반찬 결방, '거 장난이 너무 심한 거 아니오' 신서유기7 재방송 편성","추가 문제로 '신세계' 이자성(이정재)의 명대사 '거 장난이 너무 심한 거 아니오'가 출제됐는데 이를 '거 장난이 너무 지나치네'라고 말해 이 문제마저 놓쳤다. 한편 지난주 '수미네 반찬'에서는 2기 제자 임현식, 김용건...",0
4,2020-01-01,두 쥐띠 기업가 이재현·정지선 회장의 2020년 경영 전략,롯데·호텔신라·신세계 등 빅3가 치열한 경쟁을 펼칠 것으로 예상된다. 롯데는 2017년 스스로 반납한 특허권을 되찾아 오겠다는 각오다. 신세계는 2018년 롯데가 가지고 있던 3개 특허권을 모두 차지하며 인천공항 내...,0
5,2020-01-01,"`강 對 강` 매치…롯데·이마트 새사령탑, 유통1위 양보없는 승부","강희석 대표가 이마트 창립 이래 처음으로 외부 출신 최고경영자(CEO) 자리에 앉은 배경에도 베인앤드컴퍼니 재직 당시 일렉트로마트, 노브랜드 등 이마트 전문점 사업과 스타필드 운영사 신세계프라퍼티 설립에 대해...",0
6,2020-01-01,가구보러 왔다가 책도 읽고 가지요,신세계 리빙앤라이프스타일 브랜드 까사미아는 지난해 11월 서울 마포구 서교동에 위치한 '까사미아 서교점'에 소규모 서점 겸 소셜 북클럽 '북티크'를 입점시켰다. 서교점 1층 공간의 임대료를 대폭 낮추는 등의 혜택과...,2
7,2020-01-01,"""제품에 그들의 얘기를 담아라""",1991년생인 그는 신세계그룹 온라인 쇼핑몰 SSG닷컴에서 소비자 트렌드 연구와 관련 서비스를 기획하고 있다. 곽씨는 “1990년대생의 관심을 끌기 위해서는 소비자 자신이 어떤 사람인지 보여주고자 하는 욕구를...,0
8,2020-01-01,신세계 새해 이벤트 “쥐 새겨진 골드바 드려요”,신세계 면세점은 경자년 새해를 맞아 ‘쥐 골드바’ 경품 행사 등 다양한 이벤트를 마련했다. [전경우 기자] 신세계가 2020년 경자년 쥐띠 해를 맞아 다양한 제품과 이벤트를 선보인다. 신세계면세점은 세계적인...,0
9,2020-01-01,"山門서 꿈꾸고 娑婆서 이룬 三絶…""번뇌 사라질 때 '그림' 나와""",그가 민중그림운동에 적극적으로 참여한 것은 1987년 신세계 화랑에서 개최한 개인전이라고 할 수 있다. 당시 개인전에서 선보인 '관세음보살의 민중불교 역할도'가 그 시작이라고 할 수 있다. 당시 이구열 평론가는...,0
10,2020-01-02,"4대그룹 '4인4색' 경영화두, 이재용 ""준법경영""...정의선 게임체인저·최태원...","정용진 신세계그룹 부회장은 '쓴 고추냉이 속에 붙어사는 벌레에게 세상은 고추냉이가 전부'라는 영국 작가 말콤 글래드웰의 문장을 인용하며 ""관습의 달콤함에 빠지면 작은 세상만 갉아먹다 결국 쇠퇴할 수밖에 없음을...",3
11,2020-01-02,건강기능식품 전문 브랜드 '동영제' 론칭,"피로개선 멀티비타민, 피부건강 항산화 멀티비타민, 기억력 개선 멀티비타민 등이 대표 제품이다. 동국제약 헬스케어사업부 제품들은 롯데, 현대, 신세계백화점 등에 입점해 있는 48개 '동영제 매장'에서 판매한다.",0
12,2020-01-02,“생존 차원 넘어 변화의 주역으로 우뚝 서겠다”,정용진 신세계그룹 부회장은 ‘쓴 고추냉이 속에 붙어사는 벌레에게 세상은 고추냉이가 전부’라는 표현을 인용하며 지금까지 유지해온 성공의 틀에서 벗어나 관습을 타파한 변화를 주문했다. 김준영·,3
13,2020-01-02,편의점도 배달전쟁 참전… 유통업계 새해부터 배송서비스 경쟁,신세계그룹 SSG닷컴은 새해부터 서울 전 지역으로 새벽배송 대상을 확대했다. SSG닷컴은 지난해 6월 말 서울 11개 구에서 새벽배송을 시작했다. 헬스앤뷰티스토어 CJ올리브영은 전국 곳곳에 촘촘하게 들어선 오프라인...,0
14,2020-01-02,풀무원의 ‘엣지’ 있는 행보에 CJ제일제당·오뚜기도 초긴장,"현재 냉동피자 시장에서 오뚜기, CJ제일제당, 대상, 신세계 등이 각축전을 펼치고 있다. 오뚜기가 67%의 점유율을 차지하면서 독보적 1위를 지키고 있고, CJ제일제당이 24%로 2위를 유지하고 있다. 최근 풀무원의 괄목할...",0
15,2020-01-02,고체 식초 발포정 리아퐁 / 독보적인 기술력과 제품력으로 엔타스 면세점 입점,고체 식초 발포정 리아퐁이 신세계 센텀시티 면세점에 이어 인천 파라다이스 시티에 위치한 엔타스 면세점에 입점했다. 리아퐁은 액체 식초의 단점을 보완한 고체 형태로 제조하여 건강하고 부작용 없는 다이어트를 원하는...,1
16,2020-01-02,재계 신년사…‘미래·고객·디지털 혁신’ 화두,"LG그룹과 롯데, 신세계 그룹은 ‘고객 중심’에 방점을 찍었습니다. 구광모 LG그룹 회장은 “올해를 고객의 마음으로 실천하는 한 해로 만들자”며 항상 고객의 관점에서 고민하고 실행하는 LG를 그렸습니다. 지난 연말...",3
17,2020-01-02,[욜로 이벤트] 위닉스·CGV·스타벅스 外,"G9, 신세계TV쇼핑과 새해맞이 '게릴라세일' 진행 이베이코리아가 운영하는 트렌드라이프 쇼핑사이트 G9(지구)는 오는 1월 3일까지 이틀 간 신세계TV쇼핑과 함께 '게릴라세일전'을 진행한다. 일명 '품절대란템'으로...",0
18,2020-01-02,JW 메리어트 서울 / 설 선물 세트 판매,JW 메리어트 서울 전문가들의 뛰어난 솜씨와 예술적인 감성으로 럭셔리와 품격을 담은 JW 익스클루시브 셀렉션에는 세계적인 명품 헬스&amp;뷰티 ODM 회사인 ‘코스맥스(COSMAX)’와 신세계 ‘시코르(CHICOR)’와의 협업을 통해...,0
19,2020-01-02,"H&M, 미국 팝가수 '빌리 아일리시 머천다이즈 컬렉션' 출시","한편, 이번 빌리 아일리시 머천다이즈 컬렉션은 국내에서는 판교점, 강서점, 스타필드 코엑스점, 강남 신세계점, 수지 롯데몰점, 스타필드시티 부천점, 스타필드시티 명지점, 창원 시티세븐몰점 매장을 제외한 전...",0
20,2020-01-03,"“동갑내기 길들이기”…‘신서유기7’ 프랑스식당 미방영분 대방출, 6人 분장...","가령 지난 주 방송분에서 이들은 영화 특집으로 ‘겨울왕국’ 울라프, ‘신세계’ 캐릭터, ‘조커’ 등으로 분장하며 화제를 모으기도 했다. ‘신서유기’ 시즌은 그간 나영석 PD의 대표 시리즈 예능으로 사랑 받았다....",0
21,2020-01-03,"신세계푸드, ‘흰 쥐의 해’ 맞아 베이커리 신제품 선보여","신세계푸드가 운영하는 프리미엄 베이커리 매장 ‘더 메나쥬리’에서 선보이는 것으로 대표 제품은... 신세계푸드 관계자는 ""경자년 새해를 맞아 쥐 캐릭터에 대한 관심이 높아지고 있어 흰 쥐를 모티브로 한 다양한...",0
22,2020-01-03,"신세계면세점, 업계 최초 ‘비닐 뽁뽁이’ 없애기 나서",신세계면세점이 ‘에어캡(비닐 뽁뽁이)’ 사용 제로화에 나선다고 3일 밝혔다.신세계는 에어캡을 대신해 친환경재생지를 사용하고 지속적인 재활용이 가능한 에코박스를 도입해 올해 안에 에어캡을 완전히 퇴출한다는...,1
23,2020-01-03,경제계 새해 화두는…경제 회복·미래 먹거리,"최우선 과제로 꼽은 건 '디지털 전환' 시대를 대비하는 것. 현대자동차그룹과 LG그룹, 신세계그룹은 밀레니얼 세대 등 새로운 고객의 가치에 맞춰 제품과 서비스 혁신에 나서기로 했습니다. 연합뉴스TV 윤선희입니다.",2
24,2020-01-03,"[1월 둘째 주] 분양시장 휴업, 청약시스템 이관 작업 탓","▶신세계건설도 같은 날 대구 중구 삼덕동 2가 일원에 들어서는 ‘빌리브 프리미어’의 1순위 청약을 접수한다. 지하 5층~지상 49층, 3개 동으로 전용면적은 104~192㎡다. 총 200가구 아파트와 주거형 오피스텔 63실로...",0
25,2020-01-03,"[3일 외국인 순매도 Top 10] 현대차 280억, 아모레퍼시픽 41억, 쌍용양회 28억...","이어 우리금융지주 (-364천주,  약 -42억원), LG이노텍 (-30천주,  약 -42억원), 써니전자 (-792천주,  약 -39억원), 한올바이오파마 (-101천주,  약 -37억원), 롯데케미칼 (-17천주,  약 -37억원), 신세계인터내셔날...",0
26,2020-01-03,"방탄소년단 제이홉 고향 광주 방문 아미들, 웃음과 눈물의 1박2일 투어",부천에서 온 김영숙씨와 윤여현씨는 “신세계를 본 것 같다. 젊은이들과 어울리니까 기분이 좋다.” “제이홉의 고향 광주에 와서 무료로 투어를 한다는 게 너무 행운이다.”고 말했다. 대구에서 온 부부 서은희씨와...,0
27,2020-01-03,"면세점의 엇갈린 행보...골리앗 ""늘려라"" vs 다윗 ""버려라""","인천공항 면세점 입찰에 롯데,신세계,신라,현대백화점 등 참여 예정 탑시티면세점 내면세점 특허 반납하며... 신라, 신세계, 현대 등 면세점 4사간 눈치 싸움이 치열하다. 전세계 매출 1위 공항 면세점이라는 상징성과...",0
28,2020-01-03,3일 장 마감 후 주요 종목뉴스,△신세계건설(034300)=그라운드디홀딩스 주식회사와 대구 수성동4가 공동주택 신축공사 계약을 체결했다고 공시. △한전산업(130660)=한국남동발전에서 발주한 고성하이화력 연료환경설비 운전위탁용역입찰에서...,0
29,2020-01-03,"03일, 기관 거래소에서 강원랜드(-0.34%), 아모레퍼시픽(-0.48%) 등 순매수","LG디스플레이, 신세계인터내셔날, KODEX 레버리지, 한화케미칼, 한국조선해양, 제주항공, S-Oil등이다. 이중에 화학 업종에 속한 종목이 6개 포함되어 있다. KODEX 코스닥150선물인버스, 신세계인터내셔날, KODEX...",0
30,2020-01-06,"[#신상이요] 이마트 아트앤와인, 할리스 설향딸기 베이커리",신세계L&amp;B에서 출시한 '아트앤와인' 세 번째 프로젝트 상품인 '부켈라 까베르네 소비뇽 2016'과 하종현 화백의 '접합 07-09(2007년作)' 컬래버래이션 상품을 선보인다. 가격은 30만원이다. '아트앤와인' 프로젝트는 신세계L&amp;B가...,0
31,2020-01-06,희망 2020 나눔캠페인 (06),"청주 사천푸르지오 아파트 주민 일동이, 청주 율량동 신세계 약국에서 각각 1백만 원, 청주 율량 대원칸타빌 4차 아파트 입주민 일동이 80만 원의 성금을 보내주셨습니다. 청주 강서1동 정인수 씨 청주 강서1동...",0
32,2020-01-06,"[6일 기관 순매수 Top 10] 카카오 122억, LG이노텍 26억, 삼성SDI 18억, KODE...","19천주, 신세계인터내셔날 10천주, SKC 45천주, 해성디에스 112천주를 순매수했다. 기관 순매수,순매도... 26억원, 신세계인터내셔날 약 22억원, SKC 약 22억원, 해성디에스 약 18억원 순으로 높았다. 이 밖에...",0
33,2020-01-06,"이임생 ""매년 적자… 타가트 잡기 어려워""","고참급인 신세계는 강원FC로, 유스팀인 매탄고 출신인 구자룡은 전북 현대 등으로 FA를 거쳐 이적해 불만을 사고 있다.이 감독은 ""구단이 FA선수들을 최대한 잡길 원했으나, 예산의 한계로 선수들이 생각하는 급여와 차이가...",0
34,2020-01-06,[이한구의 한국재벌사·141]롯데-13 유통사업 해외확대,신세계 이마트가 국내에서 유통 1위 자리를 끊임없이 위협 중인 데다 이마트가 선수를 쳐서 중국 공략에 팔을 걷어붙이고 있는 점도 롯데 유통부문의 해외진출을 자극했다.2010년에는 산둥 럭키파이 TV쇼핑...,0
35,2020-01-06,[에너지경제신문 오프라인] 먼저 만나는 에너지경제신문 헤드라인 - 1월 7일,1% 감소…벤츠 1위 현대차 설 명절 6박7일 시승 이벤트 ◇산업 - 2 점프 업 2020 다시 뛰는 유통기업 신세계... 수출 신세계 센텀시티 방학엔 백화점서 체험 공연 즐겨요 칠곡교육지원청 특수교육위 학생 선정 실무사 배치...,0
36,2020-01-06,"'와인, 명화를 만나다'…이마트, 아트앤와인 세번째 시리즈 선봬","사진 | 이마트[스포츠서울 권오철 기자] 이마트가 오는 7일부터 신세계L&amp;B에서 출시한 ‘아트앤와인’ 세... ‘아트앤와인’ 프로젝트는 신세계L&amp;B가 국내 와인 소장 가치를 높이고, 국내 대표 작가들의 작품을...",0
37,2020-01-06,요즈음 우울하신가요?,"올더스 헉슬리(Aldous Huxley)가 1932년에 발표한 「멋진 신세계」라는 작품이 있다. 소설 속에 등장하는... 그러던 어느 날, 신세계와 격리된 원시지역(Reservation)에서 살고 있던 '야만인' 존이 우연히 이곳에 초대받는다. 그는...",0
38,2020-01-06,감미로운 클래식 선율로 새해맞이,"제9번 '신세계로부터' 등 다양한 성악곡과 수준 높은 레퍼토리를 선보인다. 슈트라우스의 박쥐 서곡은... 드보르자크 교향곡 9번 신세계로부터는 슬라브 색채와 인디언 민요 등이 접목된 곡으로, 조국에 대한 그리움과...",0
39,2020-01-06,명품 와인과 명화의 만남,명품 와인과 명화가 만난 ‘아트앤와인’ 세 번째 시리즈 상품을 소개하고 있다. ‘아트앤와인’ 프로젝트는 신세계L&amp;B가 세계적인 와인 레이블에 국내를 대표하는 화가 작품을 담아 한정판 상품으로 선보인다. 이마트 제공,0
40,2020-01-07,“치열하게 싸운 끝에...” BTS 상표권 분쟁이 결국 허무하게 끝나버렸다,"신세계가 결국 BTS 상표권을 포기했다. 7일 신세계 측은 뉴스엔에 빅히트 엔터테인먼트와의 BTS(방탄소년단) 상표권 분쟁에 대한 공식 입장을 표명했다. 신세계 측은 ""신세계백화점은 BTS와 관련된 모든 상표권을...",0
41,2020-01-07,"신세계, BTS 관련 상표권 포기… ""방탄소년단 활동 응원한다""","신세계가 'BTS' 상표권을 포기했다. 7일 신세계는 ""신세계백화점은 'BTS'와 관련된 모든 상표권을 포기합니다. 신세계는 한류문화를 대표하는 방탄소년단의 활동을 응원합니다""라는 공식 입장을 밝혔다. 그룹...",0
42,2020-01-07,"신세계, 방탄소년단 상표권 포기한 까닭은?","빅히트엔터테인먼트 제공 신세계가 7일 'BTS' 상표권을 포기하기로 했다. 신세계백화점은 이날 ""한류 문화를 대표하는 방탄소년단의 활동을 응원한다""고 했다. 그룹 '방탄소년단'은 해외에서 주로 BTS로 불린다....",0
43,2020-01-07,[판교 리얼리티·(3)실패]좌절된 '한국의 롯폰기',"부산 신세계 센텀시티의 4배, 영등포 타임스퀘어의 3배가 넘는 거대한 상업복합시설을 조성해 ""강남 상권... 사양길에 접어든 코엑스를 신세계가 인수해 '스타필드'로 일관되게 리모델링하자 상권이 되살아난 것이...",0
44,2020-01-07,"신세계, 방탄소년단 관련 상표권 모두 포기…""활동 응원하겠다""","방탄소년단(BTS)의 소속사 빅히트 엔터테인먼트와 상표권을 둘러싼 분쟁을 벌여온 신세계백화점이 BTS 관련 상표권을 모두 포기하기로 했다. 신세계백화점은 7일 ""BTS와 관련된 모든 상표권을 포기한다. 신세계는...",0
