,date,title,contents,label,sentiment
0,2020-01-01,가구보러 왔다가 책도 읽고 가지요,신세계 리빙앤라이프스타일 브랜드 까사미아는 지난해 11월 서울 마포구 서교동에 위치한 '까사미아 서교점'에 소규모 서점 겸 소셜 북클럽 '북티크'를 입점시켰다. 서교점 1층 공간의 임대료를 대폭 낮추는 등의 혜택과...,2,1.0
0,2020-01-01,가구보러 왔다가 책도 읽고 가지요,신세계 리빙앤라이프스타일 브랜드 까사미아는 지난해 11월 서울 마포구 서교동에 위치한 '까사미아 서교점'에 소규모 서점 겸 소셜 북클럽 '북티크'를 입점시켰다. 서교점 1층 공간의 임대료를 대폭 낮추는 등의 혜택과...,2,1.0
1,2020-01-02,"4대그룹 '4인4색' 경영화두, 이재용 ""준법경영""...정의선 게임체인저·최태원...","정용진 신세계그룹 부회장은 '쓴 고추냉이 속에 붙어사는 벌레에게 세상은 고추냉이가 전부'라는 영국 작가 말콤 글래드웰의 문장을 인용하며 ""관습의 달콤함에 빠지면 작은 세상만 갉아먹다 결국 쇠퇴할 수밖에 없음을...",3,0.0
2,2020-01-02,“생존 차원 넘어 변화의 주역으로 우뚝 서겠다”,정용진 신세계그룹 부회장은 ‘쓴 고추냉이 속에 붙어사는 벌레에게 세상은 고추냉이가 전부’라는 표현을 인용하며 지금까지 유지해온 성공의 틀에서 벗어나 관습을 타파한 변화를 주문했다. 김준영·,3,0.0
3,2020-01-02,고체 식초 발포정 리아퐁 / 독보적인 기술력과 제품력으로 엔타스 면세점 입점,고체 식초 발포정 리아퐁이 신세계 센텀시티 면세점에 이어 인천 파라다이스 시티에 위치한 엔타스 면세점에 입점했다. 리아퐁은 액체 식초의 단점을 보완한 고체 형태로 제조하여 건강하고 부작용 없는 다이어트를 원하는...,1,0.0
4,2020-01-02,재계 신년사…‘미래·고객·디지털 혁신’ 화두,"LG그룹과 롯데, 신세계 그룹은 ‘고객 중심’에 방점을 찍었습니다. 구광모 LG그룹 회장은 “올해를 고객의 마음으로 실천하는 한 해로 만들자”며 항상 고객의 관점에서 고민하고 실행하는 LG를 그렸습니다. 지난 연말...",3,0.0
1,2020-01-02,"4대그룹 '4인4색' 경영화두, 이재용 ""준법경영""...정의선 게임체인저·최태원...","정용진 신세계그룹 부회장은 '쓴 고추냉이 속에 붙어사는 벌레에게 세상은 고추냉이가 전부'라는 영국 작가 말콤 글래드웰의 문장을 인용하며 ""관습의 달콤함에 빠지면 작은 세상만 갉아먹다 결국 쇠퇴할 수밖에 없음을...",3,0.0
2,2020-01-02,“생존 차원 넘어 변화의 주역으로 우뚝 서겠다”,정용진 신세계그룹 부회장은 ‘쓴 고추냉이 속에 붙어사는 벌레에게 세상은 고추냉이가 전부’라는 표현을 인용하며 지금까지 유지해온 성공의 틀에서 벗어나 관습을 타파한 변화를 주문했다. 김준영·,3,0.0
3,2020-01-02,고체 식초 발포정 리아퐁 / 독보적인 기술력과 제품력으로 엔타스 면세점 입점,고체 식초 발포정 리아퐁이 신세계 센텀시티 면세점에 이어 인천 파라다이스 시티에 위치한 엔타스 면세점에 입점했다. 리아퐁은 액체 식초의 단점을 보완한 고체 형태로 제조하여 건강하고 부작용 없는 다이어트를 원하는...,1,0.0
4,2020-01-02,재계 신년사…‘미래·고객·디지털 혁신’ 화두,"LG그룹과 롯데, 신세계 그룹은 ‘고객 중심’에 방점을 찍었습니다. 구광모 LG그룹 회장은 “올해를 고객의 마음으로 실천하는 한 해로 만들자”며 항상 고객의 관점에서 고민하고 실행하는 LG를 그렸습니다. 지난 연말...",3,0.0
0,2020-01-02,"현대홈쇼핑, 일자리 창출 대통령 표창 수상",현대홈쇼핑은 ‘2019 일자리창출 유공 정부포상 시상식’에서 단체부문 대통령 표창을 수상했다고 2일 밝혔다. 고용노동부가 주관하는 ‘일자리창출 유공 정부포상’은 일자리를 늘리거나 양질의 일자리 창출을 위해...,2,1.0
0,2020-01-02,"현대홈쇼핑, 일자리 창출 대통령 표창 수상",현대홈쇼핑은 ‘2019 일자리창출 유공 정부포상 시상식’에서 단체부문 대통령 표창을 수상했다고 2일 밝혔다. 고용노동부가 주관하는 ‘일자리창출 유공 정부포상’은 일자리를 늘리거나 양질의 일자리 창출을 위해...,2,1.0
6,2020-01-03,경제계 새해 화두는…경제 회복·미래 먹거리,"최우선 과제로 꼽은 건 '디지털 전환' 시대를 대비하는 것. 현대자동차그룹과 LG그룹, 신세계그룹은 밀레니얼 세대 등 새로운 고객의 가치에 맞춰 제품과 서비스 혁신에 나서기로 했습니다. 연합뉴스TV 윤선희입니다.",2,0.0
5,2020-01-03,"신세계면세점, 업계 최초 ‘비닐 뽁뽁이’ 없애기 나서",신세계면세점이 ‘에어캡(비닐 뽁뽁이)’ 사용 제로화에 나선다고 3일 밝혔다.신세계는 에어캡을 대신해 친환경재생지를 사용하고 지속적인 재활용이 가능한 에코박스를 도입해 올해 안에 에어캡을 완전히 퇴출한다는...,1,1.0
6,2020-01-03,경제계 새해 화두는…경제 회복·미래 먹거리,"최우선 과제로 꼽은 건 '디지털 전환' 시대를 대비하는 것. 현대자동차그룹과 LG그룹, 신세계그룹은 밀레니얼 세대 등 새로운 고객의 가치에 맞춰 제품과 서비스 혁신에 나서기로 했습니다. 연합뉴스TV 윤선희입니다.",2,0.0
5,2020-01-03,"신세계면세점, 업계 최초 ‘비닐 뽁뽁이’ 없애기 나서",신세계면세점이 ‘에어캡(비닐 뽁뽁이)’ 사용 제로화에 나선다고 3일 밝혔다.신세계는 에어캡을 대신해 친환경재생지를 사용하고 지속적인 재활용이 가능한 에코박스를 도입해 올해 안에 에어캡을 완전히 퇴출한다는...,1,1.0
2,2020-01-03,자연스럽고 화사한 피부를 원하는 이들을 위한 '톤업크림',불균일한 피부톤을 자연스럽게 정리 LG생활건강의 친환경 자연주의 브랜드인 비욘드 더레미디 ‘비타민 톤업 크림’은 자연스러운 톤업으로 원래 내 피부인 듯 뽀얀 찹쌀떡 피부를 완성해주는 수분 미백크림이다....,1,0.0
0,2020-01-03,[2020 재계 영파워]젊어지고 빨라진 성과주의 쇄신인사,2007년 입사해 12년 만에 상무로 승진한 심미진 LG생활건강 상무를 비롯해 임이란 LG생활건강 상무와 김수연 LG전자 상무가 그 주인공이다. 구 회장이 이번 인사에서 새로 뽑은 여성 임원은 8명이다. 이로써 LG그룹...,3,1.0
1,2020-01-03,[씨리얼] 이 회사에서는 워라밸이 능력이다,얼마전 LG생활건강에서 30대 여성 임원이 탄생했다는 소식이 화제였죠. 오로지 ‘능력’만 보고 승진시켰더니 이런 결과가 나왔다는 겁니다. 전체 기업 중 여성 임원 비율이 고작 4%인 한국에서는 대단히 고무적인...,3,1.0
5,2020-01-06,"김기문 中企회장 일가, 홈앤쇼핑 주식 13만주 보유...상장 추진 '논란'",2010년 현대홈쇼핑 역시 공모가가 9만원으로 액면가(5000원)보다 18배 올랐다. 이 때문에 일각에서는 김 회장이 홈앤쇼핑 상장을 추진하는 배경에 자신 가족들의 이득을 노리는 것이 아니냐는 의혹이 있다. 홈앤쇼핑...,2,0.0
4,2020-01-06,"김기문 중기회장 일가, 보유 홈앤쇼핑 주식 상장 '대박' 논란",2010년 현대홈쇼핑 역시 공모가가 9만원으로 액면가(5000원)보다 18배 올랐다. 이 때문에 일각에서는 김 회장이 홈앤쇼핑 상장을 추진하는 배경에 자신 가족들의 이득을 노리는 것이 아니냐는 의혹이 있다. 홈앤쇼핑...,2,0.0
3,2020-01-06,김기문 중기중앙회 회장 일가 홈앤쇼핑 주식 보유 논란…중기중앙회 “합법적...,2010년 현대홈쇼핑 역시 공모가가 9만원으로 액면가(5000원)보다 18배 올랐다. 이에 일각에서는 김 회장이 홈앤쇼핑 상장을 추진하는 배경에 자신 가족들의 이득을 노리는 것이 아니냐는 의혹이 있다. 김 회장의 중앙회...,2,0.0
2,2020-01-06,"홈앤쇼핑 상장 앞두고, 중소기업중앙회 회장 일가 주식 취득 '눈길'","소액주주들은 지난 2015년 NS쇼핑(구 농수산홈쇼핑)의 경우 상장 당시 공모가가 23만5000원으로 47배 뛰었고, 2010년 현대홈쇼핑 역시 공모가가 9만원으로 액면가(5000원)보다 18배 올랐던 만큼 홈앤쇼핑이 상장되면 적어도...",2,0.0
1,2020-01-06,"중기중앙회 김기문 회장 일가, ""홈앤쇼핑 13만주 보유""…상장 추진 논란",2010년 현대홈쇼핑 역시 공모가가 9만원으로 액면가보다 18배 올랐다. 이에 일각에서는 김 회장이 홈앤쇼핑 상장을 추진하는 이유 중 가족들의 이득을 노리는 것이 아니냐는 의혹이 제기된다. 홈앤쇼핑의 상장은 김...,2,0.0
