,date,title,contents,label,sentiment
0,2020-01-03,[2020 재계 영파워]젊어지고 빨라진 성과주의 쇄신인사,2007년 입사해 12년 만에 상무로 승진한 심미진 LG생활건강 상무를 비롯해 임이란 LG생활건강 상무와 김수연 LG전자 상무가 그 주인공이다. 구 회장이 이번 인사에서 새로 뽑은 여성 임원은 8명이다. 이로써 LG그룹...,3,1.0
1,2020-01-03,[씨리얼] 이 회사에서는 워라밸이 능력이다,얼마전 LG생활건강에서 30대 여성 임원이 탄생했다는 소식이 화제였죠. 오로지 ‘능력’만 보고 승진시켰더니 이런 결과가 나왔다는 겁니다. 전체 기업 중 여성 임원 비율이 고작 4%인 한국에서는 대단히 고무적인...,3,1.0
2,2020-01-03,자연스럽고 화사한 피부를 원하는 이들을 위한 '톤업크림',불균일한 피부톤을 자연스럽게 정리 LG생활건강의 친환경 자연주의 브랜드인 비욘드 더레미디 ‘비타민 톤업 크림’은 자연스러운 톤업으로 원래 내 피부인 듯 뽀얀 찹쌀떡 피부를 완성해주는 수분 미백크림이다....,1,0.0
3,2020-01-08,아모레퍼시픽이 한부모 여성을 돕는 방법?,"경쟁사 LG생활건강 또한 여성과 아동, 청소년 삶의 질을 높이기 위한 사회공헌활동에 한창이다. 특히 성인 여성을 대상으로는 1인 미디어 창작자를 키워내는 ‘내추럴 뷰티크리에이터’가 있다. 결혼과 육아 등으로...",2,1.0
4,2020-01-14,"아름다운가게, 나눔보따리 통해 소외계층 지원","12일 경기고등학교에서 진행된 서울 행사에는 아름다운가게 홍명희 이사장과 LG생활건강 박헌영 전무, 동국제강 김지훈 이사가 참석했다. 사회는 아름다운가게 홍보대사인 SBS 손범규 아나운서가 맡았다. 모델 송해나는...",1,1.0
5,2020-01-14,나인트리 호텔 동대문' 오픈…친환경 등에 업고 '실속형 고객' 유혹,"LG생활건강 드봉의 제품을 사용한다. 나인트리 호텔 관계자는 ""다른 나인트리 호텔 지점에 펌프를 눌러쓰는 커다란 용기 모양의 디스펜서가 있다면 이곳은 벽면 고정 방식의 디스펜서를 갖췄다""며 ""나인트리 호텔이...",1,0.0
6,2020-01-17,새해 위문으로 장병들 복무의지 북돋아!,"이번에 증정한 위문품은 ‘(사)희망을 나누는 사람들’이 LG생활건강으로부터 후원받은 샴푸, 바디워시 등의 생활용품으로 ?약 1억 원 상당이다. 2018년 12월에 2작전사와 업무협약을 체결한 ‘(사)희망을 나누는 사람들’...",2,1.0
7,2020-01-20,"자동차 회사도 철강 회사도 ""여성 이사님 모십니다""","LG전자·디스플레이·화학은 물론 화장품·생활용품 회사인 LG생활건강에서도 여성 등기임원은 한 명도 없는 것으로 나타났다. 삼성그룹에서는 삼성물산·생명, SK그룹에서는 SK하이닉스와 SK㈜ 등도 여성 등기임원이...",3,0.0
8,2020-01-20,나누는 정 풍성한 설,"이번에 증정받은 위문품은 (사)희망을나누는사람들이 (주)LG생활건강으로부터 후원받은 샴푸, 보디워시 등 1억 원 상당의 생활용품이다. 지난 2018년 12월 2작전사와 업무협약을 체결한 (사)희망을나누는사람들은...",2,1.0
9,2020-01-21,"LG생활건강, 샤프란 아우라 모델로 '펭수' 발탁",LG생활건강이 샤프란 아우라의 모델로 펭수를 발탁했다. LG생활건강은 샤프란 아우라의 신규 모델로 대세 크리에이터 '펭수'를 발탁했다고 21일 밝혔다. EBS 연습생인 펭수는 방탄소년단과 같은 슈퍼스타가 되기 위해...,1,1.0
10,2020-01-21,"[1/21 모델동향] 슈퍼스타 펭수, 친환경 섬유유연제 모델 되다",이젠 연습생이 아니라 슈퍼스타라고 불러야 할 것 같다.LG생활건강은 미세플라스틱이 없는 섬유유연제 브랜드 '샤프란 아우라'의 모델로 펭수를 선정했다. 미세플라스틱(향기 캡슐)은 해양 생태계를 교란하는 물질로...,1,1.0
11,2020-01-21,"LG생활건강 샤프란 아우라, 대세 '펭수' 모델로 발탁",뉴데일리 김보라 기자 = LG생활건강은 미세 플라스틱(일명 향기캡슐)이 없는 섬유유연제 브랜드 샤프란 아우라의 신규 모델로 대세 크리에이터 펭수를 발탁했다고 21일 밝혔다. EBS(한국교육방송공사) 연습생인 펭수는...,1,1.0
12,2020-01-21,文 '90년대생' 포함 신임 공무원과 점심…당부한 말은,"는데, LG생활건강 기술연구소에서 일하다 공직에 입문한 여성 이정현 환경부 연구관은 자신의 딸이 문 대통령에게 편지를 썼다며 건넸다. 편지에는 ""나무가 많아지면 나쁜 공기를 먹고 좋은 공기를 내뿜어줄 수 있지...",2,0.0
13,2020-01-21,"LG생활건강, 미세플라스틱 없는 샤프란 아우라 모델로 '펭수' 기용",LG생활건강(대표?차석용)은?미세?플라스틱(일명 향기캡슐)이?없는?섬유유연제?브랜드?'샤프란?아우라'의?신규?모델로?대세?크리에이터?'펭수'를?발탁했다. LG생활건강은?남극의?청정?바다에서?살다?온...,1,1.0
14,2020-01-21,"LG생활건강, '향기캡슐' 없는 샤프란 아우라 '펭수' 새 모델",LG생활건강(대표 차석용)은 미세 플라스틱(일명: 향기캡슐)이 없는 섬유유연제 브랜드 '샤프란 아우라'의 신규 모델로 대세 크리에이터 '펭수'를 발탁했다고 21일 밝혔다. EBS(한국교육방송공사) 연습생인 펭수는...,1,1.0
15,2020-01-22,대기업 10곳 중 8사 '2년내 여성이사 뽑아야',"LG그룹도?㈜LG를 비롯해 LG전자, LG화학, LG디스플레이, LG유플러스, LG이노텍, LG생활건강, LG상사, LG하우시스까지 9개 계열사 이사회멤버를 모두 남성으로 채우고 있다. 이들 회사는 자본시장법 개정으로 내후년까지...",3,0.0
16,2020-01-23,"LG생활건강-희망을나누는사람들, 광주에 사랑을 전하다",LG생활건강과 희망을나누는사람들은 지난 21일 광주광역시지역아동센터연합회와 함께 설날을 맞아 1억 상당의 후원품을 광주광역시 관내 지역아동센터 300여곳에 전달 했다고 23일 밝혔다. LG생활건강은 우리 사회에서...,2,1.0
17,2020-01-24,"LG생활건강, '샤프란 아우라' 모델로 '펭수' 발탁",청정 바다라는 키워드 통해 LG생활건강은 미세 플라스틱이 없는 섬유유연제 브랜드 '샤프란 아우라'의 신규 모델로 대세 크리에이터 '펭수'를 발탁했다. EBS(한국교육방송공사) 연습생인 펭수는 방탄소년단(BTS)과 같은...,1,0.0
18,2020-01-24,"[빅데이터 분석]""화장품 상장기업 브랜드평판 2019년 12월 빅데이터 분석결과...","FINTECHPOST ""화장품 상장기업 브랜드평판 2019년 12월 빅데이터 분석결과...1위 LG생활건강, 2위 아모레퍼시픽, 3위 SK바이오랜드"" 화장품 상장기업 브랜드평판 2019년 12월 빅데이터 분석결과, 1위 LG생활건강 2위...",2,1.0
19,2020-01-27,"LG생활건강, '통상' 분야 전문가 표인수 사외이사 재선임 불가",LG생활건강(대표 차석용)의 사외이사 중 가장 오래 근무한 통상 분야 전문가인 표인수 사외이사가 올해 재선임되기는 어려울 것으로 예상된다. 27일 기업평가사이트 CEO스코어가 59개 대기업집단 264개 상장사의...,3,0.0
20,2020-01-28,발달장애 청소년 맞춤형 직업교육 확대,"이번 협약에는 충북보건과학대, 충청대, 충북도립대 등 지역 대학과 장애인 표준사업장인 행복모아(SK하이닉스), 행복누리(LG화학), 밝은누리(LG생활건강), 한국장애인고용공단 충북지사가 참여했다. 이번 협약에 따라...",2,1.0
21,2020-01-28,산관학 손잡고 발달장애 청소년 맞춤형 직업교육,"(사진) 이번 협약에는 충북보건과학대, 충청대, 충북도립대 등 지역대학과 SK하이닉스, LG화학, LG생활건강, 한국장애인고용공단 충북지사가 참여했다. 이번 협약으로 도교육청은 맞춤형 취업 지원 교육을 위한 교육생...",2,1.0
22,2020-01-28,발달장애 청소년 직업능력개발 `어깨동무',"협약기관은 지역 대학(충북보건과학대, 충청대, 충북도립대)과 장애인 표준사업장인 행복모아(SK하이닉스), 행복누리(LG화학), 밝은누리(LG생활건강), 한국장애인고용공단 충북지사 등이다. 협약체결을 통해 도교육청은...",2,1.0
23,2020-01-28,"충북교육청, 발달장애청소년 맞춤형 직업교육...산·관·학 '맞손'","이번 협약은 지역 대학(충북보건과학대, 충청대, 충북도립대)과 장애인 표준사업장(행복모아(SK하이닉스),행복누리(LG화학), 밝은누리(LG생활건강)), 한국장애인고용공단 충북지사와 체결했다. 이날 협약을 통해 도교육청은...",2,1.0
24,2020-01-28,산?학?관 '발달장애 청소년 직업능력개발' 맞손,"이번 협약은 충북보건과학대?충청대?충북도립대 등 지역대학 3곳과 장애인표준사업장을 운영 중인 SK하이닉스(행복모아), LG화학(행복누리), LG생활건강(밝은누리), 한국장애인고용공단 충북지사 등이 참여했다. 이들...",2,1.0
25,2020-01-28,"충북교육청, 발달장애 청소년 맞춤형 직업교육 '앞장'","충북보건과학대, 충청대, 충북도립대 등 지역대학과 행복모아(SK하이닉스), 행복누리(LG화학), 밝은누리(LG생활건강) 등 장애인표준사업장, 한국장애인고용공단 충북지사가 함께한다. 협약체결을 통해 도교육청은 맞춤형...",2,1.0
26,2020-01-29,"더불어 사는 사회, 발달장애 청소년 맞춤형 직업교육 기회 확대","이번 협약은 지역 대학(충북보건과학대, 충청대, 충북도립대)과 장애인 표준사업장(행복모아(SK하이닉스),행복누리(LG화학), 밝은누리(LG생활건강)), 한국장애인고용공단 충북지사와 체결했다. 협약체결을 통해 도교육청은...",2,1.0
27,2020-01-30,친환경 트렌드에 발맞춘 제품들 뜬다,"LG생활건강: 섬유유연제에서 미세플라스틱 뺐다 펭수가 광고 모델이 돼 더 화제가 된 제품이다. LG생활건강은 지난 21일, 신제품 '샤프란 아우라'를 출시하며 미세플라스틱을 뺐다고 밝혔다. 섬유유연제에 포함된 향기...",1,1.0
28,2020-01-31,"중국 ""한국이 돕고있다""…신종코로나 기부에 '감사 인사'","중국 경제망은 삼성, 현대차, CJ, 한미약품, 아시아나항공, 아모레퍼시픽, 코트라(KOTRA), LG생활건강, SK 등 기업들의 기부 내역을 자세히 소개했다. 인민일보도 문 대통령의 응원 메시지를 지면에 소개하고, 한국 기업들의...",2,1.0
29,2020-01-31,"한국 기업의 연이은 중국 구호…""한국이 돕고 있다“","중국 경제망은 현대차, 삼성,?CJ, 한미약품, 아시아나항공, 아모레퍼시픽, 코트라(KOTRA), LG생활건강, SK 등 기업들의 기부 내역을 자세히 소개했다. 인민일보도 문 대통령의 응원 메시지를 지면에 소개하고, 한국...",2,1.0
30,2020-01-31,"중국 ""한국이 돕고있다""…신종코로나 기부에 '감사 인사'(종합)","중국 경제망은 삼성, 현대차, CJ, 한미약품, 아시아나항공, 아모레퍼시픽, 코트라(KOTRA), LG생활건강, SK 등 기업들의 기부 내역을 자세히 소개했다. 인민일보도 문 대통령의 응원 메시지를 지면에 소개하고, 한국 기업들의...",2,1.0
31,2020-01-31,"이의경 식약처장, 보건용 마스크 유통판매망 점검",이의경?식약처장은?31일?중간?유통업체인?LG생활건강의?중앙물류센터(충북?청주시?소재)를?방문했다.?마스크가?제조돼?소비자에게?최종?전달되기?전까지?공급이?원활히?이뤄지고?있는지?점검하기?위해서다....,3,1.0
32,2020-01-31,"[민간기업 일자리 정보+] LG이노텍(주), 현대상선(주), (주)LG유플러스, (주)...","▲ 채용회사명 : (주)LG생활건강, 채용공고명 : ""생산부문 환경안전 신입 채용"", 담당업무 : 환경·화학기능, 본사 또는 근무지 : 울산, 고용형태 : 정규직, 지원자격 : 신입|대졸??, 입사지원서류 마감일자 : ~02.07 (금)...",1,1.0
33,2020-02-03,미세플라스틱 없는 펭수 샤프란 챙겨!,펭수가 팬슈머 열풍을 일으키고 있는 3일 오후 서울 영등포구 이마트 영등포점에서 한 시민이 LG생활건강의 협업제품인 펭수 샤프란 아우라 섬유유연제를 집어들고 있다. 2020.02.03. khkim@newsis.com 공감언론...,1,1.0
34,2020-02-04,韓 기업 '신종 코로나' 中 릴레이 기부…LG·포스코·신한은행·두산·오리온...,"LG는 LG전자, LG화학, LG 생활건강 등 자회사 등과 함께 824만 위안(약 14억원 상당)규모로?도움의 손길을 내밀었다. 이외에도 아모레퍼시픽이?지난 29일 후베이성 자선총회에 200만위안(약 3억5000만원 상당)의 성금을...",2,1.0
35,2020-02-04,신종 코로나 이겨내자…기업들의 ‘온정 러쉬’,"? 문화저널21 삼성·현대자동차·포스코, 中 우한시에 구호물품과 성금 전달 CJ·아모레퍼시픽·LG생활건강·이랜드·CJ·롯데·BGF리테일 지원 물결 국내 귀국한 우한교민과 아산·진천 주민들에게도 온정 이어져 신종...",2,1.0
