,date,title,contents,label,sentiment,긍부정 라벨 비고,esg 라벨(재진행)
0,2020-01-01,가구보러 왔다가 책도 읽고 가지요,신세계 리빙앤라이프스타일 브랜드 까사미아는 지난해 11월 서울 마포구 서교동에 위치한 '까사미아 서교점'에 소규모 서점 겸 소셜 북클럽 '북티크'를 입점시켰다. 서교점 1층 공간의 임대료를 대폭 낮추는 등의 혜택과...,2,1,,
1,2020-01-02,"4대그룹 '4인4색' 경영화두, 이재용 ""준법경영""...정의선 게임체인저·최태원...","정용진 신세계그룹 부회장은 '쓴 고추냉이 속에 붙어사는 벌레에게 세상은 고추냉이가 전부'라는 영국 작가 말콤 글래드웰의 문장을 인용하며 ""관습의 달콤함에 빠지면 작은 세상만 갉아먹다 결국 쇠퇴할 수밖에 없음을...",3,,,
2,2020-01-02,“생존 차원 넘어 변화의 주역으로 우뚝 서겠다”,정용진 신세계그룹 부회장은 ‘쓴 고추냉이 속에 붙어사는 벌레에게 세상은 고추냉이가 전부’라는 표현을 인용하며 지금까지 유지해온 성공의 틀에서 벗어나 관습을 타파한 변화를 주문했다. 김준영·,3,,,
3,2020-01-02,고체 식초 발포정 리아퐁 / 독보적인 기술력과 제품력으로 엔타스 면세점 입점,고체 식초 발포정 리아퐁이 신세계 센텀시티 면세점에 이어 인천 파라다이스 시티에 위치한 엔타스 면세점에 입점했다. 리아퐁은 액체 식초의 단점을 보완한 고체 형태로 제조하여 건강하고 부작용 없는 다이어트를 원하는...,1,,1?,
4,2020-01-02,재계 신년사…‘미래·고객·디지털 혁신’ 화두,"LG그룹과 롯데, 신세계 그룹은 ‘고객 중심’에 방점을 찍었습니다. 구광모 LG그룹 회장은 “올해를 고객의 마음으로 실천하는 한 해로 만들자”며 항상 고객의 관점에서 고민하고 실행하는 LG를 그렸습니다. 지난 연말...",3,,0?,
5,2020-01-03,"신세계면세점, 업계 최초 ‘비닐 뽁뽁이’ 없애기 나서",신세계면세점이 ‘에어캡(비닐 뽁뽁이)’ 사용 제로화에 나선다고 3일 밝혔다.신세계는 에어캡을 대신해 친환경재생지를 사용하고 지속적인 재활용이 가능한 에코박스를 도입해 올해 안에 에어캡을 완전히 퇴출한다는...,1,1,,
6,2020-01-03,경제계 새해 화두는…경제 회복·미래 먹거리,"최우선 과제로 꼽은 건 '디지털 전환' 시대를 대비하는 것. 현대자동차그룹과 LG그룹, 신세계그룹은 밀레니얼 세대 등 새로운 고객의 가치에 맞춰 제품과 서비스 혁신에 나서기로 했습니다. 연합뉴스TV 윤선희입니다.",2,,1?,
7,2020-01-08,공촌하수처리장 증설 승인… 청라 스타필드 착공 '물꼬',"기호일보, KIHOILBO 청라 신세계 복합쇼핑몰 조감도.2024년 인천 청라국제도시 내 스타필드 개장에 꼬인... 신세계백화점 측이 2011년 12월 26일 청라국제도시 2블록 16만3천362㎡의 터를 매입할 당시 오수분배량은 일일...",1,,?하수처리장 : 오수배출량 증가로 인한 것이면 0아닌지,
8,2020-01-08,2020 외식 트렌드는 '편리미엄'...배달 서비스 승승장구,"집에서 즐기는 일품요리 신세계푸드 에어프라이어 전용 가정간편식 2종 출시 간단한 조리 방법을 거쳐 일품요리를 즐길 수도 있다. 신세계푸드는 요리연구가 문성실의 레시피와 올반의 제품 개발력을 접목, '올반 에어쿡...",2,0,,
9,2020-01-13,"대구신세계百 ""소외이웃에 따뜻한 온정을""",대구신세계백화점(이하 대구신세계)은 지난 10일 동구청에서 제일기독종합사회복지관과 함께 2020년 소외계층 지원을 위한 후원금 전달식을 가졌다. 이번 전달식에는 배기철 동구청장과 봉명훈 제일기독종합사회복지관...,2,1,,
