,date,title,contents,label,sentiment, ,Unnamed: 6
0,2020-01-01,[새 출발 2020 다시 뛰는 기업들] GS 허태수 회장 '원년'…美 실리콘밸리에 벤...,"GS칼텍스, GS리테일, GS홈쇼핑 등 GS계열사가 함께 GWG(Grow with GS)프로그램을 진행해 대기업과 스타트업 상생협력 모델을 구축해왔다. 앞서 GS홈쇼핑은 2011년부터 스타트업을 발굴·협업해왔다. 업무 연관성이 높은 국내...",2,1.0,,
1,2020-01-01,"공룡 유통사, 온라인몰 역량 강화 `올인`",롯데는 1월 국내 가전 유통매장 중 최대인 7260㎡(약 2000평) 규모로 문을 여는 롯데하이마트 잠실점을 시작으로 다양한 가전제품을 직접 체험할 수 있는 초대형 메가스토어를 연내 잇달아 오픈한다. 현대백화점그룹은...,2,1.0,,
2,2020-01-01,가구보러 왔다가 책도 읽고 가지요,신세계 리빙앤라이프스타일 브랜드 까사미아는 지난해 11월 서울 마포구 서교동에 위치한 '까사미아 서교점'에 소규모 서점 겸 소셜 북클럽 '북티크'를 입점시켰다. 서교점 1층 공간의 임대료를 대폭 낮추는 등의 혜택과...,2,1.0,,
3,2020-01-02,"롯데하이마트, 'mom편한 하이드림' 프로젝트 확대","롯데하이마트, 'mom편한 하이드림' 프로젝트 확대 롯데하이마트가 여성과 아동을 대상으로 하는 사회공헌활동인 'mom편한 하이드림(Hi Dream)'을 확대 운영한다. mom편한 하이드림은 여성과 아동이 꿈을 이루는 데 도움이...",2,1.0,,
4,2020-01-02,"하이마트, 여성·아동 가전제품 지원 'mom편한 하이드림' 확대",포쓰저널 성은숙 [포쓰저널=] 롯데하이마트(대표 이동우)가 여성과 아동을 대상으로 하는 사회공헌활동인 ’mom편한 하이드림(Hi Dream)’을 확대 운영한다고 2일 밝혔다. mom편한 하이드림은 여성과 아동이 꿈을 이루는...,2,1.0,,
5,2020-01-02,"롯데하이마트, 사회공헌 '맘편한 하이드림' 확대 운영","롯데하이마트, 사회공헌 '맘편한 하이드림' 확대 운영 롯데하이마트가 여성과 아동을 대상으로 하는 사회공헌활동인 ’맘편한 하이드림’을 확대 운영한다고 2일 밝혔다. 맘편한 하이드림은 여성과 아동이 꿈을 이루는...",2,1.0,,
6,2020-01-02,"롯데하이마트, 맘편한 하이드림 사회공헌 프로젝트 확대",롯데하이마트가 여성과 아동을 대상으로 하는 사회공헌활동인 '맘(mom)편한 하이드림(Hi Dream)'을 확대 운영한다고 2일 밝혔다. mom편한 하이드림은 여성과 아동이 꿈을 이루는 데 도움이 되는 가전제품을 지원하는...,2,1.0,,
7,2020-01-02,"롯데하이마트, ‘mom편한 하이드림(Hi Dream)’ 사회공헌 프로젝트 확대 시행",롯데하이마트(대표 이동우)가 여성과 아동을 대상으로 하는 사회공헌활동인 ’mom편한 하이드림(Hi Dream)’을 확대 운영한다. mom편한 하이드림(Hi Dream)’은 여성과 아동이 꿈을 이루는 데 도움이 되는 가전제품을...,2,1.0,,
8,2020-01-02,"[가전오늘] 권봉석 LG전자 ""디지털 전환 가속화해 변화 통한 성장 도모""…전자...","롯데하이마트, 'mom편한 하이드림' 사회공헌 프로젝트 확대 시행 롯데하이마트는 여성과 아동을 대상으로 하는 사회공헌활동인 'mom편한 하이드림'(Hi Dream)을 확대 운영한다고 2일 밝혔다. mom편한 하이드림(Hi Dream)은...",2,1.0,,
9,2020-01-02,"롯데하이마트, '맘편한 하이드림' 연 4회→6회 운영",롯데하이마트가 여성과 아동에게 가전제품을 지원하는 사회공헌활동 '맘(mom) 편한 하이드림(Hi Dream)'을 기존 연 4회에서 연 6회로 확대 운영합니다. 롯데하이마트는 이번달 31일까지 롯데 CSV 홈페이지에서 사연을 공개...,2,1.0,,
10,2020-01-02,"롯데하이마트, ‘mom편한 하이드림’ 사회공헌 프로젝트 확대",롯데하이마트는 여성과 아동을 대상으로 하는 사회공헌활동인 ’mom편한 하이드림(Hi Dream)’을 확대 운영한다고 2일 밝혔다. mom편한 하이드림은 여성과 아동이 꿈을 이루는 데 도움이 되는 가전제품을 지원하는...,2,1.0,,
11,2020-01-02,"4대그룹 '4인4색' 경영화두, 이재용 ""준법경영""...정의선 게임체인저·최태원...","정용진 신세계그룹 부회장은 '쓴 고추냉이 속에 붙어사는 벌레에게 세상은 고추냉이가 전부'라는 영국 작가 말콤 글래드웰의 문장을 인용하며 ""관습의 달콤함에 빠지면 작은 세상만 갉아먹다 결국 쇠퇴할 수밖에 없음을...",3,,,
12,2020-01-02,고체 식초 발포정 리아퐁 / 독보적인 기술력과 제품력으로 엔타스 면세점 입점,고체 식초 발포정 리아퐁이 신세계 센텀시티 면세점에 이어 인천 파라다이스 시티에 위치한 엔타스 면세점에 입점했다. 리아퐁은 액체 식초의 단점을 보완한 고체 형태로 제조하여 건강하고 부작용 없는 다이어트를 원하는...,1,,,
13,2020-01-02,재계 신년사…‘미래·고객·디지털 혁신’ 화두,"LG그룹과 롯데, 신세계 그룹은 ‘고객 중심’에 방점을 찍었습니다. 구광모 LG그룹 회장은 “올해를 고객의 마음으로 실천하는 한 해로 만들자”며 항상 고객의 관점에서 고민하고 실행하는 LG를 그렸습니다. 지난 연말...",3,,,
14,2020-01-02,"현대홈쇼핑, 일자리 창출 대통령 표창 수상",현대홈쇼핑은 ‘2019 일자리창출 유공 정부포상 시상식’에서 단체부문 대통령 표창을 수상했다고 2일 밝혔다. 고용노동부가 주관하는 ‘일자리창출 유공 정부포상’은 일자리를 늘리거나 양질의 일자리 창출을 위해...,2,1.0,0.0,
15,2020-01-02,“생존 차원 넘어 변화의 주역으로 우뚝 서겠다”,정용진 신세계그룹 부회장은 ‘쓴 고추냉이 속에 붙어사는 벌레에게 세상은 고추냉이가 전부’라는 표현을 인용하며 지금까지 유지해온 성공의 틀에서 벗어나 관습을 타파한 변화를 주문했다. 김준영·,3,,,
16,2020-01-03,경제계 새해 화두는…경제 회복·미래 먹거리,"최우선 과제로 꼽은 건 '디지털 전환' 시대를 대비하는 것. 현대자동차그룹과 LG그룹, 신세계그룹은 밀레니얼 세대 등 새로운 고객의 가치에 맞춰 제품과 서비스 혁신에 나서기로 했습니다. 연합뉴스TV 윤선희입니다.",2,1.0,,
17,2020-01-03,"신세계면세점, 업계 최초 ‘비닐 뽁뽁이’ 없애기 나서",신세계면세점이 ‘에어캡(비닐 뽁뽁이)’ 사용 제로화에 나선다고 3일 밝혔다.신세계는 에어캡을 대신해 친환경재생지를 사용하고 지속적인 재활용이 가능한 에코박스를 도입해 올해 안에 에어캡을 완전히 퇴출한다는...,1,1.0,,
18,2020-01-03,"롯데하이마트, ‘mom편한 하이드림(Hi Dream)’ 사회공헌 프로젝트…2회 늘려...",롯데하이마트(대표 이동우)가 여성과 아동을 대상으로 하는 사회공헌 활동인 ‘mom편한 하이드림(Hi Dream)’을 확대 운영한다고 3일 밝혔다. ‘mom편한 하이드림(Hi Dream)’은 여성과 아동이 꿈을 이루는 데 도움이 되는...,2,1.0,,
19,2020-01-03,"롯데하이마트, 'mom편한 하이드림' 사회공헌 프로젝트 확대 시행",롯데하이마트가 여성과 아동을 대상으로 하는 사회공헌활동인 'mom편한 하이드림(Hi Dream)'을 확대 운영한다. [사진 롯데하이마트] ［뉴시안=이석구 기자] 롯데하이마트가 여성과 아동을 대상으로 하는 사회공헌활동인...,2,1.0,,
