,date,title,contents,label,sentiment
0,2020-01-01,[새 출발 2020 다시 뛰는 기업들] GS 허태수 회장 '원년'…美 실리콘밸리에 벤...,"GS칼텍스, GS리테일, GS홈쇼핑 등 GS계열사가 함께 GWG(Grow with GS)프로그램을 진행해 대기업과 스타트업 상생협력 모델을 구축해왔다. 앞서 GS홈쇼핑은 2011년부터 스타트업을 발굴·협업해왔다. 업무 연관성이 높은 국내...",2,1
1,2020-01-03,"GS리테일 부회장 허연수, 디지털광고계열사 GS넷비전 대표도 겸직",허연수 GS리테일 대표이사 부회장이 계열사 GS넷비전 대표이사를 겸직한다. GS넷비전은 디지털 광고사업을 하는 회사다. GS넷비전은 허 부회장이 GS넷비전 대표이사를 겸직한다고 3일 밝혔다. 허연수 GS리테일...,3,
2,2020-01-03,"허연수 부회장, 자회사 GS넷비전 대표 겸직",◆[서울=뉴스핌] 남라다 기자 =?허연수 GS리테일 부회장이 자회사 GS넷비전 대표이사를 겸직한다. GS넷비전은 3일 허연수 부회장이 신임 대표로 선임됐다고 공시했다. 전문경영인인 김종수 GS넷비전 사장은...,3,
3,2020-01-03,"허연수 GS리테일 부회장, 자회사 GS넷비전 대표 겸직",허연수 GS리테일 부회장이 콘텐츠 제작 전문 자회사 GS넷비전 대표이사를 겸직한다. 전문경영인이 물러나고 오너가 관련 사업을 직접 챙기면서 디지털 경쟁력을 강화한다는 계산이다. GS넷비전은 3일 김종수 대표가...,3,
4,2020-01-03,[단독]허연수 GS리테일 부회장… 5년 만에 GS넷비전 대표 겸직,허연수 GS리테일 부회장이 GS넷비전 대표이사를 겸직한다. GS리테일 100% 자회사인 GS넷비전은 허 부회장이 2009년부터 대표를 맡아오다 2015년 물러선 바 있다. GS넷비전은 3일 김종수 GS넷비전 대표이사가 사임하고...,3,
5,2020-01-06,"GS리테일-한국조리과학고, 미래세대 식문화 연구 협약",박진서 GS리테일 간편식품부문장과 박동규 한국조리과학고등학교 교장이 6일 진행된 미래세대 식(食)문화 연구' 업무협약에서 기념사진을 촬영하고 있다.사진=GS리테일 제공 ?GS리테일은 명문 조리 특성화고와 손잡고...,2,1
6,2020-01-06,"GS리테일-한국조리과학고, ‘미래세대 식(食)문화 연구’ 업무협약 체결",GS리테일과 한국조리과학고등학교는 6일 경기도 시흥시에 위치한 한국조리과학고등학교 본관에서 업무협약식을 진행했다. 이날 협약식에는 박진서 GS리테일 MD본부 간편식품부문장과 박동규 한국조리과학고등학교(이하...,2,1
7,2020-01-06,"GS리테일, 조리과학고와 업무협약…신선식품 역량 강화",GS리테일과 한국조리과학고등학교는 6일 경기도 시흥시에 위치한 한국조리과학고등학교 본관에서 신선식품 개발역량 차별화를 위한 업무협약을 체결했다. 이번 업무협약은 GS리테일의 유통업에 대한 노하우를 바탕으로...,2,1
8,2020-01-06,"GS리테일-한국조리과학고, 미래세대 식문화 연구 협약","GS리테일은 한국조리과학고등학교와 6일 경기도 시흥시 한국조리과학고 본관에서 '미래세대 식(食)문화 연구'를 위한 업무협약을 맺었다. 한국조리과학고 10대 학생들은 GS리테일에 삼각김밥, 도시락, 샌드위치 등...",2,1
9,2020-01-08,"대기업 오너일가, 일반 직원보다 19년 빨리 '별' 단다","6년이 걸리며 가장 길었다. 이어 구자용 LS네트웍스 회장 역시 16.0년이 소요됐다. 이어 허명수 GS건설 부회장(15.2년), 허연수 GS리테일 부회장(14.2년), 박석원 두산 부사장(14.0년) 등이 상위 5위권 안에 들었다.",3,
10,2020-01-08,"평균 33.6세 임원직' 대기업 오너家, 임원 승진까지 '4.6년'","0년이 소요됐다. 허명수 GS건설 부회장(15.2년), 허연수 GS리테일 부회장(14.2년), 박석원 두산 부사장(14.0년), 구자은 LS엠트론 회장(14.0년), 구자홍 LS니꼬동제련 회장(13.7년) 등이 뒤를 이었다. 파이낸셜투데이",3,
11,2020-01-09,[종합] 서울 강동·은평 등 대형마트 의무휴업일 ‘설날’로 변경…노조 반발...,"이에 따라 강동구에 위치한 이마트 천호점과 명일점, 홈플러스 강동점 등 3곳의 대형마트와 GS리테일 명일점 등 11곳의 준대규모점포(SSM)는 설 당일 문을 닫는다. 강동구청 측은 “조례로 결정된 사안으로 2013년부터...",2,
12,2020-01-09,[단독] 서울 강동·강서·은평·중구 대형마트 의무휴업일 설 당일로 변경…전...,"이에 따라 강동구에 위치한 이마트 천호점과 명일점, 홈플러스 강동점 등 3곳의 대형마트와 GS리테일 명일점 등 11곳의 준대규모점포(SSM)는 설 당일 문을 닫는다. 강동구청 측은 “대규모 유통업 종사자의 휴식원을...",2,
13,2020-01-10,진주 '기업가정신 수도 구축사업' 본격화,"구철회 LG그룹 창업고문을 비롯해 허정구 삼양통상 명예회장, 구정회 옛 금성사 사장, 허준구 GS건설 명예회장, 구자경 LG그룹 명예회장, 구평회 E1 명예회장, 구두회 예스코 명예회장, 허신구 GS리테일 명예회장 등 국내...",3,
14,2020-01-13,경남의 미래교실은 어떤 모습?,"참여기업은 (주)다산네트워크, GS리테일, LG화학, noom, SK텔레콤, 삼성SDS, 잡코리아, 한국과학기술정보연구원, 한국아이비엠, 한컴MDS 등이다. 이날 심포지엄의 결과물은 경남교육청이 설립을 추진 중인...",2,1
15,2020-01-13,"PB는 싸다?···'프리미엄', '친환경'으로 승부수","GS리테일은 자사 PB상품에 기존 대비 인쇄 도수(잉크 개수)를 줄이고, 일부 제품에 생분해 재질의 필름을 사용해 친환경 트렌드를 디자인에 적극 반영하기도 했다. 유통업계 관계자는 ""오프라인이 온라인에 경쟁하려면...",1,1
16,2020-01-13,GS25 “하이패스 누적 충전금액 350억원…20일부터 친환경단말기 등 예약 판매...,"이종완 GS리테일은 서비스 상품팀 과장은 “GS25는 그동안 고속도로 영업소, 휴게소 등에서만 제한적으로 이용할 수 있었던 하이패스 서비스를 전국 1만 4000여 GS25 매장에 구축해 고객의 이용 편의성을 개선하고...",1,1
17,2020-01-14,"에너지公, 에너지절약 문화 확산 주도",이를 위해 오는 17일 GS리테일 본사에서 관련기업들과 전사적 에너지절감을 위한?행사를 개최하고?에너지시스템 실사 및 사용 매뉴얼 검토 자문 등 공동 캠페인을 진행할 예정이다. 이를 통해 에너지절약 착한가게...,1,1
18,2020-01-15,친환경' 재기 노리는 GS…LNG화력발전소에 저감설비 구축,"강화와 친환경 제품과 서비스 수요의 증가에 적극 대응해야 한다""고 강조했다. 한편 GS리테일도 편의점 GS2의 커피 브랜드 ‘카페25'에서 쓰는 종이컵의 코팅제를 친환경 소재로 바꾸는 등 친환경 경영을 하고 있다.",1,1
19,2020-01-16,"GS25, 명절 당일 휴무 신청제 도입...설날 휴무 편의점 늘어날까",16일 업계에 따르면 GS리테일이 운영하는 GS25는 지난해 말 ‘명절 당일 휴무 신청제’를 도입했다. 당초 이 회사는 가맹 계약 당시 명절 휴무 여부를 선택하고 본사와의 협의를 거쳐 명절 휴무를 결정했었다. 이번 명절...,2,1
20,2020-01-17,"한국에너지공단, GS리테일과 에너지절약 착한가게 캠페인 확산 협력",한국에너지공단(이사장 김창섭)과 GS리테일(사장 조윤성)은 17일 GS리테일 본사(GS타워)에서 '에너지절약 실천 문화 확산을 위한 업무협약'을 체결했다. 금번 업무협약에서 GS리테일은 자사 편의점과 화장품스토어 등 전국...,2,1
21,2020-01-17,"에너지公?GS리테일, 에너지절약 착한가게 캠페인 확산 '맞손'","에너지절약 착한가게 문화 확산 업무협약식을 마치고 김창섭 한국에너지공단 이사장(좌측), 조윤성 GS리테일 사장(우측)이 GS25 역삼 프리미엄점을 방문해 조정숙 점주에게 에너지절약 착한가게 1호점 현판식을 수여하고...",2,1
22,2020-01-17,"조윤성 김창섭, GS리테일 한국에너지공단 함께 에너지 절약 협력",조윤성 GS리테일 사장(왼쪽)과 김창섭 한국에너지공단 이사장이 17일 에너지절약 실천문화 확산을 위한 업무협약을 맺은 뒤에 GS25지에스강남점에서 기념사진을 촬영하고 있다. GS리테일이 한국에너지공단과 손잡고...,2,1
23,2020-01-17,"한국에너지공단, GS리테일과 ‘에너지절약 실천 문화 확산’ MOU 체결","한국에너지공단(이사장 김창섭, 이하 공단)과 GS리테일(사장 조윤성)은 17일 GS리테일 본사(GS타워)에서 ‘에너지절약 실천 문화 확산을 위한 업무협약’을 체결했다. 금번 업무협약을 통해 GS리테일은 자사 편의점과...",2,1
24,2020-01-17,GS리테일 '에너지 절약 실천' MOU 체결,"GS리테일은 17일 서울 역삼동 GS타워 본사에서 한국에너지공단과 ‘에너지절약 실천 문화 확산을 위한 업무협약’을 체결했다. GS리테일은 전국 1만4000개의 GS25를비롯해 GS THE FRESH, 랄라블라 등 오프라인 점포 플랫폼과...",2,1
25,2020-01-17,"에너지공단, GS리테일과 '착한가게' 확산나서","한국에너지공단 김창섭 이사장(좌측)과 GS25 역삼 프리미엄점 조정숙 점주(중앙), GS리테일 조윤성 사장(우측)이 '에너지절약 실천 문화 확산 착한가게 캠페인' 일환으로 GS25 역삼 프리미엄점을 방문해 에너지절약...",2,1
26,2020-01-17,"[현장톡톡] GS리테일-에너지공단 에너지 절약 캠페인 ""적정온도 유지해 전기요...",GS리테일도 함께하는 에너지 절감 겨울철 실내 적정온도 18˚C에서 20˚C 지키고 난방할 땐 문 닫고 조명 LED로만 바꿔도 편의점 당 월 18만원 전기요금 절감 GS리테일 전국 오프라인 매장 '에너지 절약 캠페인' 참가 선언...,2,1
27,2020-01-17,"에너지공단, 에너지절약 실천 문화 확산",한국에너지공단(김창섭?이사장)과?GS리테일(조윤성?사장)이?17일?서울?GS강남타워에서?'에너지절약?실천?문화?확산을?위한?업무협약'을?체결했다. 에너지공단은?GS리테일의?전사적?에너지절감을?위한...,2,1
28,2020-01-22,1월 23일 알림,◇ GS리테일은 22일 임직원이 책을 기부하는 ‘북드림 캠페인’으로 사회공헌단체 땡스기브에 2019년에 모은 도서 1만9706권을 전달했다. 책은 국내외 저소득층 아동과 청소년들이 이용할 수 있는 도서관과 공부방...,2,1
29,2020-01-22,부산 동아대 취업팀이 3년째 서울 찾은 까닭,"취업팀장을 비롯한 취업팀 직원은 2박3일간 서울에 머물며 포스코, 롯데, GS리테일, 우리은행 등 10여 개 기업을 방문했다. 3년째 이어진 연초 상경이다. 이인용 동아대 취업팀장은 “지방대생이 수도권에 있는 기업에...",2,1
30,2020-01-22,"깨끗한나라, GS리테일 채널 이용한다…마케팅부터 신상품 개발까지","깨끗한나라 장녀 최현수 대표, GS리테일과 MOU 직접 체결 경영난 깨끗한나라, 인연 깊은 GS리테일 통해 생존 방안 모색 서민지 기자 vitaminji@ajunews.com 생활용품기업 깨끗한나라가 22일 GS리테일과 손잡고 최신 고객...",3,1
31,2020-01-22,"박명석 GS25 점주, GS북드림캠페인서 최다 기부자 선정","박명석 GS25 점주, GS북드림캠페인서 최다 기부자 선정 박명석 GS25 김대중센터점주가 GS리테일의 도서기부 캠페인에서 역대 최다 기부자에 이름을 올렸다. GS리테일은 지난 9년간 북드림캠페인을 통해 모은 책을...",2,1
32,2020-01-23,"GS리테일, 9년간 ‘북드림캠페인’ 통해 5억 상당 책 11만 7840권 기부","꿈꾸다 GS리테일이 이색 사회공헌 활동을 통해 진심어린 나눔에 앞장서며 새로운 기부 문화를 만들어가고 있다. GS리테일은 21일(어제), 사회공헌 단체인 Thanks Give(이하 땡스기브)에 방문해 2019년에 모은 도서 1만...",2,1
33,2020-01-24,[JOB현장에선] CU와 GS25시 편의점주의 설연휴 '휴점' 기준은 서로 다른 '기회...,BGF 리테일에 따르면 올해도 지난 추석과 마찬가지로 1300여 개 점포가 휴무 신청을 한 것으로 나타났다.GS리테일이 운영하는 편의점 GS25는 이번 설 당일에 1000여 개 점포가 쉰다. 이전에는 가맹점주와 계약 당시 명절...,2,1
34,2020-01-27,"GS25, '우한 폐렴' 우려에 매장 근무자 마스크 착용 권고","GS리테일이 운영하는 편의점 GS25가 신종 코로나바이러스 감염증인 '우한 폐렴' 예방 차원에서 매장 근무자들의 마스크 착용을 권고했다. GS25는 최근 전 점포에 공문을 보내 ""외국인 방문이 많은 공항과 관광지...",2,1
35,2020-01-27,"우한폐렴' 확산…GS25, 중국인 많이 찾는 점포 마스크 착용 권고","GS리테일은 지난 26일 인천공항을 비롯한 GS25 주요 점포에 공문을 보내 27일부터 매장 근무자에게 마스크 착용을 당부했다. 공문에서는 ""신종 코로나바이러스 확산에 따라 점포에서는 전염 방지를 위해 철저한...",2,1
36,2020-01-27,“걱정돼...” 근무하다 '우한 폐렴' 환자 마주친 GS25 편의점 직원 상태,GS25 편의점을 운영하는 GS리테일은 국내 세 번째 우한 폐렴 환자가 방문한 것으로 확인된 GS25 한강잠원 1호점 근무자를 격리 조치하고 방역소독을 완료했다고 27일 밝혔다.?GS리테일은 해당 시간 편의점에서 근무했던...,2,1
37,2020-01-28,정규직 디자이너 꿈 이루세요…GS리테일 등 인재 모집,㈜세한테크·블리스트·라인프렌즈·㈜GS리테일·㈜에떼르·㈜배럴즈에서 신입 및 경력 인재를 모집한다. ◇ ㈜세한테크에서 정규직을 모집한다. 모집 분야는 온라인광고 디자이너 채용 분야이며 디자이너잡...,2,1
38,2020-01-29,"신종코로나 확진자 다녀간 카페 직원, 유급휴가 가능할까?","GS리테일 관계자는 ""이상 없다는 의견을 받았으나 일단 자택에서 쉬도록 했다""며 "" 유급휴가 여부는 정부의 구체적 지원 결정이 나오면 다시 논의할 예정""이라고 밝혔다. 보건복지부도 확진자나 밀접접촉자가 아닌 일반...",2,1
39,2020-01-30,"롭스', 파트타이머 간식비 지원 중단…'랄라블라' 아예 없어","GS리테일이 운영하는 랄라블라는 이 같은 식대 지원이 전혀 없다. 롭스 관계자는 식대 폐지에 대해 ""근로계약서상 명시된 부분이 아니었고 복리후생차원의 간식대였다""며 ""일방적으로 없앤 것이 아니고 올해 계약서를...",2,0
