 ,date,title,contents,label,sentiment,Unnamed: 6
0,2020-01-02,"현대홈쇼핑, 일자리 창출 대통령 표창 수상",현대홈쇼핑은 ‘2019 일자리창출 유공 정부포상 시상식’에서 단체부문 대통령 표창을 수상했다고 2일 밝혔다. 고용노동부가 주관하는 ‘일자리창출 유공 정부포상’은 일자리를 늘리거나 양질의 일자리 창출을 위해...,2,1,
1,2020-01-06,"중기중앙회 김기문 회장 일가, ""홈앤쇼핑 13만주 보유""…상장 추진 논란",2010년 현대홈쇼핑 역시 공모가가 9만원으로 액면가보다 18배 올랐다. 이에 일각에서는 김 회장이 홈앤쇼핑 상장을 추진하는 이유 중 가족들의 이득을 노리는 것이 아니냐는 의혹이 제기된다. 홈앤쇼핑의 상장은 김...,2,0,
2,2020-01-06,"홈앤쇼핑 상장 앞두고, 중소기업중앙회 회장 일가 주식 취득 '눈길'","소액주주들은 지난 2015년 NS쇼핑(구 농수산홈쇼핑)의 경우 상장 당시 공모가가 23만5000원으로 47배 뛰었고, 2010년 현대홈쇼핑 역시 공모가가 9만원으로 액면가(5000원)보다 18배 올랐던 만큼 홈앤쇼핑이 상장되면 적어도...",2,0,
3,2020-01-06,김기문 중기중앙회 회장 일가 홈앤쇼핑 주식 보유 논란…중기중앙회 “합법적...,2010년 현대홈쇼핑 역시 공모가가 9만원으로 액면가(5000원)보다 18배 올랐다. 이에 일각에서는 김 회장이 홈앤쇼핑 상장을 추진하는 배경에 자신 가족들의 이득을 노리는 것이 아니냐는 의혹이 있다. 김 회장의 중앙회...,2,0,
4,2020-01-06,"김기문 중기회장 일가, 보유 홈앤쇼핑 주식 상장 '대박' 논란",2010년 현대홈쇼핑 역시 공모가가 9만원으로 액면가(5000원)보다 18배 올랐다. 이 때문에 일각에서는 김 회장이 홈앤쇼핑 상장을 추진하는 배경에 자신 가족들의 이득을 노리는 것이 아니냐는 의혹이 있다. 홈앤쇼핑...,2,0,
5,2020-01-06,"김기문 中企회장 일가, 홈앤쇼핑 주식 13만주 보유...상장 추진 '논란'",2010년 현대홈쇼핑 역시 공모가가 9만원으로 액면가(5000원)보다 18배 올랐다. 이 때문에 일각에서는 김 회장이 홈앤쇼핑 상장을 추진하는 배경에 자신 가족들의 이득을 노리는 것이 아니냐는 의혹이 있다. 홈앤쇼핑...,2,0,
6,2020-01-07,면세품 에어캡 퇴치 움직임... 인도장 옆 '뽁뽁이' 산 사라지려나,"롯데홈쇼핑은 상품 배송에 사탕수수 추출 원료를 사용한 친환경 비닐 포장재를 사용하고 있으며, 현대홈쇼핑도 비닐 테이프 대신 친환경 접착제로 만든 배송 박스를 도입했다. CJ ENM 오쇼핑부문은 친환경 포장재인...",1,1,
7,2020-01-07,[그랜드 CEO in KOREA(11)] 현대家 3세경영 선두주자 정지선 현대백화점그룹 ...,"계열사 현대홈쇼핑은 매달 한 차례 아이스팩을 회수한다. 소비자가 아이스팩을 모아두면 수거한 뒤, 현대백화점그룹멤버십(H포인트)을 증정한다. 아이스팩을 재활용해서 환경 보호에 기여한 공로로 현대백화점그룹은...",1,1,
8,2020-01-08,여자는 여전히 요리하고 청소하고…홈쇼핑 속 성차별 심각,"서울YWCA는 8일 주요 홈쇼핑 채널 7개(GS홈쇼핑, CJ오쇼핑, 현대홈쇼핑, 롯데홈쇼핑, NS홈쇼핑, 공영홈쇼핑, 홈앤쇼핑)를 모니터링한 결과 '2019 대중매체 양성평등 내용분석-홈쇼핑 모니터링'을 발표했다. 해당 모니터는...",2,0,
9,2020-01-08,"여자는 손질하고 요리하고, 남자는 먹기만···홈쇼핑 속 성평등 갈 길 멀다","서울YWCA는 8일 주요 홈쇼핑 채널 7개(GS홈쇼핑, CJ오쇼핑, 현대홈쇼핑, 롯데홈쇼핑, NS홈쇼핑, 공영홈쇼핑, 홈앤쇼핑)를 모니터링한 ‘2019 대중매체 양성평등 내용분석-홈쇼핑 모니터링’을 발표했다. 해당 모니터는 2019년...",2,0,
