,date,title,contents,label,sentiment
0,2020-01-01,"공룡 유통사, 온라인몰 역량 강화 `올인`",롯데는 1월 국내 가전 유통매장 중 최대인 7260㎡(약 2000평) 규모로 문을 여는 롯데하이마트 잠실점을 시작으로 다양한 가전제품을 직접 체험할 수 있는 초대형 메가스토어를 연내 잇달아 오픈한다. 현대백화점그룹은...,2,1
1,2020-01-02,"롯데하이마트, ‘mom편한 하이드림’ 사회공헌 프로젝트 확대",롯데하이마트는 여성과 아동을 대상으로 하는 사회공헌활동인 ’mom편한 하이드림(Hi Dream)’을 확대 운영한다고 2일 밝혔다. mom편한 하이드림은 여성과 아동이 꿈을 이루는 데 도움이 되는 가전제품을 지원하는...,2,1
2,2020-01-02,"롯데하이마트, '맘편한 하이드림' 연 4회→6회 운영",롯데하이마트가 여성과 아동에게 가전제품을 지원하는 사회공헌활동 '맘(mom) 편한 하이드림(Hi Dream)'을 기존 연 4회에서 연 6회로 확대 운영합니다. 롯데하이마트는 이번달 31일까지 롯데 CSV 홈페이지에서 사연을 공개...,2,1
3,2020-01-02,"[가전오늘] 권봉석 LG전자 ""디지털 전환 가속화해 변화 통한 성장 도모""…전자...","롯데하이마트, 'mom편한 하이드림' 사회공헌 프로젝트 확대 시행 롯데하이마트는 여성과 아동을 대상으로 하는 사회공헌활동인 'mom편한 하이드림'(Hi Dream)을 확대 운영한다고 2일 밝혔다. mom편한 하이드림(Hi Dream)은...",2,1
4,2020-01-02,"롯데하이마트, ‘mom편한 하이드림(Hi Dream)’ 사회공헌 프로젝트 확대 시행",롯데하이마트(대표 이동우)가 여성과 아동을 대상으로 하는 사회공헌활동인 ’mom편한 하이드림(Hi Dream)’을 확대 운영한다. mom편한 하이드림(Hi Dream)’은 여성과 아동이 꿈을 이루는 데 도움이 되는 가전제품을...,2,1
5,2020-01-02,"롯데하이마트, 맘편한 하이드림 사회공헌 프로젝트 확대",롯데하이마트가 여성과 아동을 대상으로 하는 사회공헌활동인 '맘(mom)편한 하이드림(Hi Dream)'을 확대 운영한다고 2일 밝혔다. mom편한 하이드림은 여성과 아동이 꿈을 이루는 데 도움이 되는 가전제품을 지원하는...,2,1
6,2020-01-02,"롯데하이마트, 사회공헌 '맘편한 하이드림' 확대 운영","롯데하이마트, 사회공헌 '맘편한 하이드림' 확대 운영 롯데하이마트가 여성과 아동을 대상으로 하는 사회공헌활동인 ’맘편한 하이드림’을 확대 운영한다고 2일 밝혔다. 맘편한 하이드림은 여성과 아동이 꿈을 이루는...",2,1
7,2020-01-02,"하이마트, 여성·아동 가전제품 지원 'mom편한 하이드림' 확대",포쓰저널 성은숙 [포쓰저널=] 롯데하이마트(대표 이동우)가 여성과 아동을 대상으로 하는 사회공헌활동인 ’mom편한 하이드림(Hi Dream)’을 확대 운영한다고 2일 밝혔다. mom편한 하이드림은 여성과 아동이 꿈을 이루는...,2,1
8,2020-01-02,"롯데하이마트, 'mom편한 하이드림' 프로젝트 확대","롯데하이마트, 'mom편한 하이드림' 프로젝트 확대 롯데하이마트가 여성과 아동을 대상으로 하는 사회공헌활동인 'mom편한 하이드림(Hi Dream)'을 확대 운영한다. mom편한 하이드림은 여성과 아동이 꿈을 이루는 데 도움이...",2,1
9,2020-01-03,"[CSR NOW] 롯데하이마트·유진그룹·IBK연금보험, “뜻 깊은 새해맞이”",의미있는 발걸음으로 세상에 온기를 전하고 있는 기업들의 모습을 뷰어스가 조명합니다-편집자주롯데하이마트가 여성과 아동을 대상으로 하는 사회공헌활동인 ’mom편한 하이드림’을 확대 운영한다.■ 유진그룹...,2,1
10,2020-01-03,"롯데하이마트, 'mom편한 하이드림' 사회공헌 프로젝트 확대 시행",롯데하이마트가 여성과 아동을 대상으로 하는 사회공헌활동인 'mom편한 하이드림(Hi Dream)'을 확대 운영한다. [사진 롯데하이마트] ［뉴시안=이석구 기자] 롯데하이마트가 여성과 아동을 대상으로 하는 사회공헌활동인...,2,1
11,2020-01-03,"롯데하이마트, ‘mom편한 하이드림(Hi Dream)’ 사회공헌 프로젝트…2회 늘려...",롯데하이마트(대표 이동우)가 여성과 아동을 대상으로 하는 사회공헌 활동인 ‘mom편한 하이드림(Hi Dream)’을 확대 운영한다고 3일 밝혔다. ‘mom편한 하이드림(Hi Dream)’은 여성과 아동이 꿈을 이루는 데 도움이 되는...,2,1
12,2020-01-06,"롯데하이마트, 어디서도 볼 수 없는 스타트업 제품 선보인다",스타트업·중소 제조사의 제품을 전시하는 전용 코너 ‘메이커스랩 바이 하이마트’(사진=롯데하이마트)[이데일리 함지현 기자]롯데하이마트가 스타트업·중소 제조사의 제품을 전시하는 전용 코너 ‘메이커스랩 바이...,2,1
13,2020-01-07,"롯데하이마트, '메가스토어' 잠실점 오픈… 차별화된 라이프스타일 선도","사진=롯데하이마트 롯데하이마트(대표 이동우)가 오는 9일 서울 송파구 잠실동에 '메가스토어' 잠실점을 오픈한다고 밝혔다. 전체 면적 7,431m²(약 2,248평)로 국내 최대 규모다. 기존에 있던 롯데하이마트 잠실점을 대폭...",2,1
14,2020-01-07,"[현장에서] 메가스토어 잠실점, IT 강조한 최대 가전매장 특장점은?","롯데하이마트가 만반의 준비를 마친 ‘메가스토어’ 잠실점이 오는 9일 공식 오픈하게 된다. 이에 앞서 프레스투어를 진행했는데, 기존 전자매장들과의 차이점을 알아봤다. 7일 롯데하이마트는 서울 송파구 잠실동에...",2,1
15,2020-01-07,"가전양판업계, 체험형 매장으로 생존 도모",이곳은 롯데하이마트가 오는 9일 서울 송파구 잠실동에 오픈하는 프리미엄 전자제품 체험 매장 ‘롯데하이마트 메가스토어’입니다.메가스토어에서는 단순 상품 구매를 넘어 각종 체험이 가능합니다. 70평 규모의 e...,2,1
