word,label,tf-idf
폐기물,e,114.255678
사용량/배출량/온실가스,e,83.49453394
재활용/업사이클링 ,e,75.80424792
환경경영/기후변화,e,27.46530722
LED,e,23.07085806
탄소중립,e,19.7750212
플라스틱/PET/페트병,e,19.7750212
사업장,e,19.05686008
포장재,e,14.19127878
물류센터,e,12.16395324
지속적/효율화,e,10.1366277
정보보호/개인정보/정보보안,s,102.1709428
안전보건/안전사고/관리자/산업재해,s,88.98759538
동반성장/협력사/협력회사,s,74.70563563
임직원/근로자,s,45.81755722
중소기업/프로그램/컨설팅/경쟁력,s,38.4514301
공정거래/자율준수,s,29.19348778
품질관리/가이드라인,s,20.87363348
공급망,s,17.57779662
위험성/사업장/화학물질,s,13.18334746
윤리경영,s,10.98612289
이사회/대표이사/경영진/사내이사/위원장 ,g,81.90395184
감사위원회,g,38.4514301
ESG위원회,g,29.66253179
주주총회,g,26.36669493
독립성/과반수 ,g,21.97224577
내부거래위원회,g,20.87363348
지배구조/경영진,g,18.67640891
보상위원회,g,16.47918433
전문성,g,12.16395324
