word,label,tf-idf
원단위,e,148.94276106062156
LG생활건강,e,75.6435818844027
플라스틱,e,70.52160571897926
온실가스,e,64.47689665735247
PET,e,48.74490361983978
사용량,e,48.33894070139683
배출량,e,46.26145439938118
에너지,e,46.03685341873757
탄소중립,e,28.208642287591704
재활용,e,27.75687263962871
재활용성,e,27.0805020110221
코카콜라음료,e,27.0805020110221
사업장,e,24.388481665500695
폐기물,e,20.873633484694086
기후변화,e,20.149030205422648
파우치,e,18.95635140771547
신재생에너지,e,16.24830120661326
TP공장,e,16.24830120661326
그린제품,e,16.24830120661326
환경경영,e,15.861070079787833
무라벨,e,13.54025100551105
전과정,e,13.54025100551105
클린뷰티,e,13.54025100551105
경량화,e,13.54025100551105
포장재,e,10.986122886681098
분담금,e,10.83220080440884
그린패키징,e,10.83220080440884
최소화,e,9.656627474604601
시스템,e,8.171912572490863
환경부,e,8.12415060330663
간소화,e,8.12415060330663
등급평,e,8.12415060330663
통합폐수처리장,e,8.12415060330663
기획세트,e,8.12415060330663
환경표지,e,8.12415060330663
바디워시,e,8.12415060330663
환경분담금,e,8.12415060330663
폴리백,e,8.059612082169059
자원순환,e,8.059612082169059
브랜드,e,6.437751649736401
지속적,e,6.097120416375174
경영환경,e,6.0447090616267936
고객들,e,5.41610040220442
유류비,e,5.41610040220442
폐플라스틱,e,5.41610040220442
패키징,e,5.41610040220442
씨그램,e,5.41610040220442
내용물,e,5.41610040220442
심의협의회,e,5.41610040220442
목표관리제,e,5.41610040220442
WWF,e,5.41610040220442
사용처,e,5.41610040220442
저장탱크,e,5.41610040220442
분리배출,e,5.41610040220442
프로젝트,e,4.828313737302301
신제품,e,4.029806041084529
로드맵,e,4.029806041084529
지속가능,e,3.6651629274966204
발생량,e,3.2188758248682006
공정안전,e,2.70805020110221
감축기술,e,2.70805020110221
추진전략,e,2.70805020110221
에너지관리,e,2.70805020110221
세계자연,e,2.70805020110221
전담조직,e,2.643511679964639
자체적,e,2.643511679964639
이해관계자,e,2.643511679964639
자발적,e,2.1972245773362196
정기적,e,2.1972245773362196
모니터링,e,2.1972245773362196
전기차,e,2.0149030205422647
목표관리,e,2.0149030205422647
환경안전,e,2.0149030205422647
경영시스템,e,1.6094379124341003
효율화,e,1.3217558399823195
협력회사,e,1.3217558399823195
협력회사,s,185.04581759752472
LG생활건강,s,106.22290222065062
ESG,s,68.506702698437
안심품질,s,56.869054223146414
유해물질,s,48.35767249301435
안전보건,s,41.845385723286604
국내외,s,35.20465261432873
구성원,s,31.722140159575666
사업장,s,28.961321977782074
화장품,s,27.0805020110221
동반성장,s,23.070858062030304
경쟁력,s,22.532130774077405
화학물질,s,22.532130774077405
재해복구,s,21.66440160881768
안심품질인증제도,s,21.66440160881768
안전보건경영,s,21.66440160881768
전시회,s,21.66440160881768
고도화,s,21.66440160881768
대리점,s,21.66440160881768
시스템,s,21.37269442036072
개인정보,s,21.148093439717112
리스크,s,21.074686833105567
프로세스,s,20.15839610123141
안심품질인증,s,18.95635140771547
자가평가,s,16.24830120661326
최적화,s,16.24830120661326
공급망,s,16.119224164338117
온라인,s,14.484941211906902
모니터링,s,14.281959752685427
개인정보보호,s,14.281959752685427
인건비,s,13.54025100551105
정보보안,s,12.875503299472802
가능성,s,12.089418123253587
위탁업체,s,10.83220080440884
실행력,s,10.83220080440884
개폐문,s,10.83220080440884
복지몰,s,10.83220080440884
상생결제,s,10.83220080440884
ESG경영,s,10.83220080440884
위해성,s,10.83220080440884
소비자안심센터,s,10.83220080440884
전문기관,s,10.074515102711324
신제품,s,10.074515102711324
기술지도,s,8.12415060330663
초과근로,s,8.12415060330663
RQM,s,8.12415060330663
중대재해,s,8.12415060330663
주간행사,s,8.12415060330663
유해성,s,8.12415060330663
팜오일,s,8.12415060330663
협력회사기술지원팀,s,8.12415060330663
해외법인,s,8.12415060330663
모의훈련,s,8.12415060330663
안심품질인증평,s,8.12415060330663
통합방재센터,s,8.12415060330663
대표적,s,8.12415060330663
안전관리자,s,8.12415060330663
사출금형,s,8.12415060330663
콘셉트,s,8.12415060330663
워크숍,s,8.12415060330663
아이디어,s,8.12415060330663
지게차,s,8.12415060330663
정기총회,s,8.12415060330663
가맹점,s,8.059612082169059
불공정,s,8.059612082169059
데이터,s,8.059612082169059
소비자,s,7.690286020676768
지속적,s,7.621400520468967
관리체계,s,7.330325854993241
컨설팅,s,6.608779199911598
자체적,s,6.608779199911598
전담조직,s,6.608779199911598
원재료,s,6.437751649736401
최우선,s,6.0447090616267936
실질적,s,6.0447090616267936
종합적,s,6.0447090616267936
홈페이지,s,6.0447090616267936
프로그램,s,5.493061443340549
화물차,s,5.41610040220442
요소수,s,5.41610040220442
안전보건문화,s,5.41610040220442
계면제조실,s,5.41610040220442
일시적,s,5.41610040220442
기술연구원,s,5.41610040220442
위험성평,s,5.41610040220442
인센티브,s,5.41610040220442
유틸리티,s,5.41610040220442
위험성,s,5.41610040220442
여주공장,s,5.41610040220442
시스템화,s,5.41610040220442
비상사태,s,5.41610040220442
제품화,s,5.41610040220442
