keyword,text,label
폐기물,"자원 재활용을 넘어서 업사이클링을 통해 새로운 가치를 더한 제품으로 탄 생시킴으로써 폐기물을 감축하고 있습니다. GS SHOP의 경우, 기존에 사 용하는 부직포 의류커버를 업사이클링하여 가방으로 탄생시켜 고객들에 게 제공하고 있습니다. 특히 부직포는 재활용되지 않는 소재로 연간 31만장 이상의 부직포가 일반쓰레기로 폐기되었으나, 에코백으로 업사이클링하 여 연간 폐기량의 20%를 감축하는 것을 목표로 추진하고 있습니다. ",e
폐기물,"기존 지자체별 종량제 봉투를 사용하여 생활폐기물을 소각 처리하는 방 식에서 벗어나, 재활용 처리 공장의 수집운반 업체와의 계약을 통해 생활 폐기물을 수거하여 100% 재활용할 수 있도록 추진하고 있습니다. 현재 GS THE FRESH 11개점에서 해당 방식을 도입하여 매장에서 배출되는 모든 생활폐기물이 재활용되도록 운영하고 있습니다. ",e
폐기물,"GS리테일은 음식물 쓰레기를 다시 자원으로 활용하는 자원 선순환 구조 를 정착시켜 나가고 있습니다. F/F 공장에서 발생한 음식 폐기물을 퇴비 화하여 GS THE FRESH 협력 농가에 공급하고 있으며, 해당 퇴비를 이용 하여 재배된 포도와 배는 다시 매입되어 판매되고 있습니다. 이렇게 재배 된 과일에 대한 소비자들의 반응 또한 긍정적으로 폐기물을 절감할 뿐만 아니라 친환경 소비에 대한 관심 또한 증가되는 효과를 보이고 있습니다. ",e
사용량/배출량/온실가스,"매년 새롭게 발전하는 디지털 트랜스포메이션과 접목하여 SEMS를 고 도화시키기 위한 작업을 지속적으로 진행하고 있습니다. 기존 SEMS는 냉난방기의 원격 관리를 통한 실내 온도를 관리하며 전력 이상 발생 시 PUSH 알람을 활용한 에너지 총량을 관리합니다. 2022년의 SEMS는 여기서 한 발 더 나아가, 주요 냉장비의 온도 센서를 통해 전달되는 이상 온도 PUSH 알람을 통해 점포 근무자보다 먼저 A/S 발생을 인지하고 확인· 조치하며, 점포별 전기사용량 분석을 통해 점포의 적정 전기 사용량을 제공 및 관리하는 스마트 원격 운영관리시스템으로 고도화되어 환경 경영에 매우 중요한 역할을 기대 하고 있습니다. ",e
사용량/배출량/온실가스,"GS리테일은 제조사로부터 물류센터를 거쳐 편의점, 슈퍼, 최종적으로 소비자에게 상품을 전달하는 효율적이며 안정적인 물류시스템을 구축하 였습니다. 매일 배송차량들이 전국에 위치한 15,000점 이상의 점포를 방 문하며 401,000km를 주행하는데 이는 하루에 지구를 10바퀴 도는 만 큼의 거리입니다. GS리테일은 유통업에서 중요한 물류단계에서 발생하 는 환경 영향을 줄이기 위해 친환경 물류 시스템을 구축하고 온실가스 감 축 목표를 수립하였으며, 이를 달성하기 위한 다양한 사업을 단계적으로 추진하며 이행 실적을 관리하고 있습니다. ",e
사용량/배출량/온실가스,"2010년 물류에너지 목표관리제 자발적 협약을 체결한 이후, 친환경 녹 색물류 기반을 구축하였습니다. 2015년 최초로 국토교통부가 주관하는 우수녹색물류실천기업 지정증을 취득하였으며 2022년 1월 재인증을 받아 당사의 환경친화적인 물류 활동과 온실가스 감축 실적을 인정받았 습니다. ",e
재활용/업사이클링 ,슈퍼에서도 직영점 131개점에 액상용 음식물 처리기를 도입하여 음식물 의 84%를 감축하는 큰 성과를 얻었습니다. 일반 음식물의 일부는 퇴비 공장으로 운반되어 90% 이상 재활용됩니다. 또한 폐식용유의 경우 별도 수거 후 정제유 가공 공장으로 입고되어 93%가량 재활용되고 있습니다. ,e
재활용/업사이클링 ,"빈 용기 보상금 제도에 따라 빈 용기의 회수와 재사용을 촉진시키기 위해 2021 년에 무인공병회수기 14대를 도입하여 운영하고 있습니다. 무인공병회수기 도입 이후 공병 회수율이 동기간 대비 최대 200% 증가하여 자원 재활용에 크게 기여 하였으며, 2022년 7월 중 28대를 추가 도입하여 운영할 계획입니다. ",e
재활용/업사이클링 ,GS리테일이 아웃도어 기업 BYN블랙야크(‘블랙야크’)와 협업하여 투명 페트병 재활용 확대를 위한 친환경 사업 제휴를 진행하였습니다. 2021년 1톤의 무라벨 생수 페트병이 블랙야크의 페트병 자원 순환 기술을 거쳐 일부가 GS25 유니폼 50벌로 재탄생했고 이를 우선 직영점에 확대하고 내구성 검증 후 전 점포 확대를 전개할 예정입니다. ,e
재활용/업사이클링 ,환경테크 수거함을 스타트업 시범 도입했습니다. '오이스터 에이블'과 이 수거함은 손잡고 인공지능(AI)와 2021년 6월 투명 사물인터넷 페트병 (loT)기술이 탑재되어 소비자가 투명 페트병을 반납 시 해당 정보를 바탕 으로 ‘오늘의 분리수거’ 앱에서 포인트로 보상을 제공받을 수 있습니다. 이러한 투명 페트병 수거함을 가까운 편의점에 도입함으로써 재활용 분리 배출에 대한 국민의 자발적 동참을 이끌어내고 동시에 자원순환율을 높 이는데 기여할 것으로 예상됩니다. ,e
