keyword,text,label
폐기물,"가전제품 보호를 위해 사용하는 박스 및 스티로폼의 배송 폐기물을 효과적 으로 수거, 재활용하는 자원 선순환 체계를 구축하고 있습니다. 롯데하이마 트의 자원 선순환 체계는 전국 매장 및 물류센터 네트워크와 파트너사와의 긴밀한 협업을 통해 이루어집니다. 매장 내 파지 수거함 또는 배송 과정에서 수거하는 모든 폐기물은 지역 단위 물류 센터를 거쳐 폐기물 재활용 파트너 사에 전달되며, 이후 재활용지 또는 건설용 스티로폼 자재로 재활용하고 있 습니다. ",e
폐기물,"롯데하이마트는 제품 배송 단계에서 발생하는 폐기물을 배송과 동시에 수거 하고 있습니다. 특히 대형 가전제품의 경우, 포장재의 부피와 무게가 커서 고 객이 직접 배출하기 어렵습니다. 이에 CS마스터를 통해 배송/설치가 이루어 지는 가전제품의 포장 폐기물을 모두 수거하고, 수거한 포장재, 배송 폐기물 은 전국 유통망을 통해 폐기물 재활용 파트너사에 전달, 재활용 및 친환경 처 리에 노력하고 있습니다. ",e
폐기물,"가전 케어십 서비스1) 확대로 제품 수명을 연장, 폐기물 발생을 줄이는 데 기 여하고 있습니다. 고객은 가전 케어십 서비스를 통해 세탁기, 공기청정기 등 사후 관리가 까다로운 가전제품의 내외부 세척을 제공받을 수 있습니다. 서 비스 시행에 따른 제품 수명 연장 효과는 가전제품의 폐기율을 낮추게 되는 선순환을 이루게 됩니다. 롯데하이마트는 고객 서비스 혁신을 통해 고객과 함께하는 친환경 가치 창출에 앞장서고 있습니다. ",e
폐기물,"포장재를 절약하고 친환경 포장재 사용을 확대함으로써 폐기물 배출을 줄여 가고 있습니다. 자체 브랜드(PB) 상품 ‘하이메이드’의 포장재를 기존 코팅 박 스에서 친환경 재질 박스로 교체하였으며, 2021년 12월 기준 총 107개 품목 에 대해 친환경 포장재를 사용, 향후 3년 이내 전 PB모델 적용을 검토하고 있 습니다. 또한 온라인 전용 택배 발송 상품에 종이테이프 및 완충재 사용을 확 대하고, 매장 고객용 쇼핑백을 친환경 재질로 교체하였습니다. ",e
폐기물,"습니다. 아울러 행사 진행 전 과정에서 폐기물 발생을 줄이기 위한 노력 또한 아끼지 않았습니다. 매장 폐가전 수거함으로는 플라스틱이 아닌 목재를 사용 하고, 고객 증정용 에코백은 행사에 쓰인 현수막을 활용했습니다. 특히 폐현 수막 에코백 제작은 업사이클링 기업 ‘터치포굿’과의 제휴를 통해 진행하였으 며, 멸종위기종 보호 메시지를 담아 더욱 뜻깊은 활동이 되었습니다. 앞으로 도 롯데하이마트는 폐가전 회수를 통한 자원 선순환 체계 구축에 동참하는 것은 물론, 정부기관, 파트너사, 고객과 임직원 모두가 참여할 수 있는 다양한 친환경 캠페인을 전개해 나가겠습니다. ",e
사용량,"온실가스 배출 감축을 위하여 전사적으로 에너지 절감 캠페인을 시행하고 있습니다. 에너지 사용량 측정 장치 설치, 전기 과설비 예방과 같은 조치 들도 단계적으로 시행해 나갈 예정입니다. 또한 매장에는 신재생에너지 발 전을 이용한 에너지 전력구입계약(PPA)3) 방식을 사용하거나 물류센터 옥 상에 발전기 설치와 같은 계획을 검토 중입니다. 2022년부터는 환경부 산 하 한국환경산업기술원에서 운영하는 환경정보시스템 홈페이지에 공시하 여 환경 정보에 대한 투명성을 강화할 예정입니다. 이처럼 이해관계자와 투 명한 소통을 통해 친환경 가전제품 유통 기업으로 거듭나고자 합니다. ",e
사용량,* 전기 사용량을 온실가스 배출량으로 환산 에너지법 시행규칙[별표] 에너지열량 환산기준(kWh→ 9.6MJ) ,e
사용량,"냉난방기는 조명시설과 함께 전력소비에 영향을 미치는 요소 중 하나입니다. 롯데하이마트는 2021년 전국 총 48개 매장 및 물류센터의 노후 전기식 냉난 방기 교체대상 71대를 고효율 인버터 냉난방기로 교체하였습니다. 또한 매 년 에너지 절감을 위하여 냉난방 사용 효율화 활동을 진행하고 있습니다. 계절 별 전력 사용량이 가장 많은 여름과 겨울에는 실내 적정온도를 유지하기 위한 전사적 캠페인을 진행하여 피크 시간대 전력사용 및 전력비용을 절감하고, 전 력 과부하를 방지하였습니다. ",e
온실가스,"온실가스 배출 감축을 위하여 전사적으로 에너지 절감 캠페인을 시행하고 있습니다. 에너지 사용량 측정 장치 설치, 전기 과설비 예방과 같은 조치 들도 단계적으로 시행해 나갈 예정입니다. 또한 매장에는 신재생에너지 발 전을 이용한 에너지 전력구입계약(PPA)3) 방식을 사용하거나 물류센터 옥 상에 발전기 설치와 같은 계획을 검토 중입니다. 2022년부터는 환경부 산 하 한국환경산업기술원에서 운영하는 환경정보시스템 홈페이지에 공시하 여 환경 정보에 대한 투명성을 강화할 예정입니다. 이처럼 이해관계자와 투 명한 소통을 통해 친환경 가전제품 유통 기업으로 거듭나고자 합니다. ",e
온실가스,* 전기 사용량을 온실가스 배출량으로 환산 에너지법 시행규칙[별표] 에너지열량 환산기준(kWh→ 9.6MJ) ,e
재활용,"가전제품 보호를 위해 사용하는 박스 및 스티로폼의 배송 폐기물을 효과적 으로 수거, 재활용하는 자원 선순환 체계를 구축하고 있습니다. 롯데하이마 트의 자원 선순환 체계는 전국 매장 및 물류센터 네트워크와 파트너사와의 긴밀한 협업을 통해 이루어집니다. 매장 내 파지 수거함 또는 배송 과정에서 수거하는 모든 폐기물은 지역 단위 물류 센터를 거쳐 폐기물 재활용 파트너 사에 전달되며, 이후 재활용지 또는 건설용 스티로폼 자재로 재활용하고 있 습니다. ",e
재활용,"롯데하이마트는 제품 배송 단계에서 발생하는 폐기물을 배송과 동시에 수거 하고 있습니다. 특히 대형 가전제품의 경우, 포장재의 부피와 무게가 커서 고 객이 직접 배출하기 어렵습니다. 이에 CS마스터를 통해 배송/설치가 이루어 지는 가전제품의 포장 폐기물을 모두 수거하고, 수거한 포장재, 배송 폐기물 은 전국 유통망을 통해 폐기물 재활용 파트너사에 전달, 재활용 및 친환경 처 리에 노력하고 있습니다. ",e
재활용,"2021년 6월 18일, 롯데하이마트는 한국환경공단, 한국전자제품자원순환공 제조합과 함께 폐가전 수거 및 재활용 활성화를 위한 MOU를 체결했습니다. 협약을 바탕으로 폐전기·전자제품 회수체계를 구축함으로써 자원 선순환 구조 형성에 기여하게 되었습니다. 2022년 8월부터 소형폐가전 회수 활성 화를 위해 롯데하이마트 전체 매장에서 프로모션, 경품과 같은 캠페인을 진 행할 계획입니다. 또한 기존 50개의 회수 대상 품목을 모든 폐전자제품으로 확대하여 더욱 확장된 회수 체계를 갖출 예정입니다. ",e
플라스틱,"습니다. 아울러 행사 진행 전 과정에서 폐기물 발생을 줄이기 위한 노력 또한 아끼지 않았습니다. 매장 폐가전 수거함으로는 플라스틱이 아닌 목재를 사용 하고, 고객 증정용 에코백은 행사에 쓰인 현수막을 활용했습니다. 특히 폐현 수막 에코백 제작은 업사이클링 기업 ‘터치포굿’과의 제휴를 통해 진행하였으 며, 멸종위기종 보호 메시지를 담아 더욱 뜻깊은 활동이 되었습니다. 앞으로 도 롯데하이마트는 폐가전 회수를 통한 자원 선순환 체계 구축에 동참하는 것은 물론, 정부기관, 파트너사, 고객과 임직원 모두가 참여할 수 있는 다양한 친환경 캠페인을 전개해 나가겠습니다. ",e
배출량,* 전기 사용량을 온실가스 배출량으로 환산 에너지법 시행규칙[별표] 에너지열량 환산기준(kWh→ 9.6MJ) ,e
배출량,"Scope 1은 상대적으로 배출량이 적게 발생하고 있으며, 추후 데이터 산정하여 보고 예정임 ",e
LED,"에너지 효율 개선을 위해 매장 및 물류센터의 조명시설을 고효율 LED 조명으 로 교체하고 있습니다. 2016년부터 시행된 조명 교체 사업은 매년 사업성 분 석과 대상 점포 선정을 통해 진행되며, 신축/리뉴얼 매장의 경우 LED 조명 설 치를 표준화하여 사업장 조명 효율화 달성을 목표로 사업을 지속했습니다. 아울러 한국전력공사 효율향상 사업1) 지원 대상에서 획득한 지원금으로 조 명을 추가 구매하여 교체한 결과, 2021년 말 기준 전국 318점에 기존 형광등 조명을 소비전력이 적은 LED 조명으로 24.6만개 교체 설치하여 에너지 절감 효과를 얻을 수 있었습니다. 또한, 2021년 10월부터 시행한 ESCO2) 사업을 통 해 2022년 상반기까지 롯데마트 내 하이마트 총 64개 점포 6,517개의 구형 LED를 고효율 LED로 교체하여 조명 전력을 연 1,593 kWh에서 1,032kWh로 35%가량 절감할 예정입니다. ",e
LED,1) 일반 조명기기를 고효율 또는 1등급 LED로 교체하는 개인 및 기업에게 지원금을 지급하는 사업 ,e
