keyword,text,label
폐기물,LG생활건강은 각 사업장별로 폐기물 발생량을 저감하고 발생되는 폐기 물의 보관 운반 처리 과정에서 폐기물 관리법을 준수하고 있으며 청주 사업장은 통합 폐기물 보관장을 신설하여 사업장 내 폐기물 보관 프로세스를 개선하였고 천안 사업장은 기존에 설치된 PET 압착기를 교체하여 폐기물 처리장의 환경과 침출수의 제거 효율을 개선하였으며 광주,e
사용량/배출량/온실가스,LG생활건강은 매년마다 외부기관 검증을 통해 온실가스 배출량을 관리하고 있으며 국가 에너지 및 온실가스 규제인 온실가스 목표관리제도를 준수하고 있다.,e
재활용/업사이클링 ,LG생활건강은 지속가능한 친환경 포장재 구현을 위해 그린제품 심의협의회를 운영해왔는데 CRO를 위원장으로 환경 안전부문이 추진하고 포장연구와 디자인 구매 제품 기획 부서가 협의회 로 구성되어 있다.,e
환경경영/기후변화,LG생활건강은 환경경영과 기후변화 대응을 적극 실천해왔으며 글로벌 생활문화 기업으로서 보다 전략적이고 체계적으로 기후변화 대응에 나서고자 2050 탄소중립 계획을 발표했습니다.,e
탄소중립,LG생활건강은 500여 개의 협력회사를 대상으로 ESG 역량 강화 활동을 확대해 지속가능한 공급망 구축에도 힘 쓸 것이며 협력 회사 대표와 실무자를 위한 ESG 교육 과정을 신설하고 국내외 ESG 경영 정보를 제공하는 등 컨설팅 활동도 더욱 강화해 나갈 예정이다.,e
플라스틱/PET/페트병,비욘드 리필용 파우치를 출시하고 기존 정품 플라스틱 용기 대 비 플라스틱을 75 저감한 비욘드 리필용 파우치를 출시했습니다.,e
사업장,청주 사업장과 TP공장의 통합폐수처리장을 운영하고 있으며 TOC 연속측정 시스템을 구축하여 안정적인 방류 수질을 확보하고 환경사고를 예방하고 있다.,e
지속적/효율화,LG생활건강은 분말세탁세제 액상 주방용 세제 다목적 세정제 방향제 등의 제품에 환경표지 인증을 지속적으로 취득 유지하여 제품의 환경성 개선 정보를 소비자에게 제공하고 있으며 환경성적표지제도에 적극 참여하여 제품 생산 전과정에 대한 환경 영향을 정량적으로 표시하고 있습니다.,e
정보보호/개인정보/정보보안,LG생활건강은 개인정보보호를 포함한 사이버 보안의 중요성을 인지하고 있으며 전사 리스크 관리 차원에서 사이버 보안을 지속적으로 강화하고 있다.,s
안전보건/안전사고/관리자/산업재해,LG생활건강은 글로벌 수준의 안전보건경영 시스템을 기반으로 전사 안전보건 관리체계를 새롭게 구축하고 안전보건 전담조직을 통해 중대재해를 비롯한 안전보건 리스크를 철저히 관리하며 체계적인 안전보건 활동을 펼치고 있다.,s
동반성장/협력사/협력회사,LG생활건강은 국내 최고의 동반성장 선도 기업이라는 동반성장 비전 실현을 위해 4대 전략 과제와 세부 전략 방향 6대 추진 분야로 구성된 전략 체계를 마련해 추진하고 있다.,s
품질관리/가이드라인,LG생활건강의 통 합 품질 관리 시스템인 RQM은 3개 법인 8개 생산 사업장 5개 물류 사업장에 적용되어 있으며 제품 Life cycle 전 영역에 대한 품질 통합 시스템으로써 LG생활건강 제품의 품질을 관리하고 있습니다.,s
공급망,LG생활건강은 책임 있는 원재료 조달에 힘쓰고 있으며 환경 및 사회적 이슈가 있는 원재료에 대해서는 엄격한 기준에 따라 구매하고 있다.,s
위험성/사업장/화학물질,LG생활건강은 구성원들의 뇌심혈관계 질환 예방을 위해 레드서클 주간행사를 진행해왔으며 매년 9월 첫째 주를 뇌심혈관계 질환의 위험성을 인식하고 스스로 건강을 관리하는 문화를 함께 만들어가는 주간으로 운영하고 있다.,s
이사회/대표이사/경영진/사내이사/위원장 ,LG생활건강은 이사회 구성을 위한 독립성 전문성 다양성의 원칙을 실천하고 있으며 이사회 구성원 모두 상법 및 관계 법령에서 요구하는 기본적인 법적 요건을 갖 추고 있을뿐 아니라 다양한 분야에서 전문성을 갖 추고 있다.,g
감사위원회,감사위원회는 특수관계가 없는 사외이사 4명으로 구성되며 독립성을 보장한다.,g
ESG위원회,LG생활건강은 기업의 비재무적 요소를 경영 활동에 반영하고 ESG 실행력을 강화하기 위해 2021년에 ESG위원회를 설치하였다.,g
주주총회,사외이사후보추천위원회 는 사외이사의 선임과 위원회 운영의 공정성과 독립성을 확보하기 위해 총 위원의 과반수인 사외이사 2명과 기타비상무이사 1명을 위원으로 구성하여 운영하고 있습니다.,g
