keyword,text,label
폐기물,롯데하이마 트의 자원 선순환 체계는 전국 매장 및 물류센터 네트워크와 파트너사와의 긴밀한 협업을 통해 이루어지며 롯데하이마트는 제품 배송 단계에서 발생하는 폐기물을 배송과 동시에 수거 하고 있다.,e
사용량,에너지 절감 캠페인을 시행하고 있으며 에너지 사용량 측정 장치 설치와 전기 과설비 예방과 같은 조치들도 단계적으로 시행해 나갈 예정이다.,e
재활용,롯데하이마트는 한국환경공단과 한국전자제품자원순환공 제조합과 함께 폐가전 수거 및 재활용 활성화를 위한 MOU를 체결했고 협약을 바탕으로 폐전기 및 전자제품 회수체계를 구축함으로써 자원 선순환 구조 형성에 기여하게 되었습니다.,e
배출량,배출량이 적게 발생하고 있는 Scope 1은 추후 데이터 산정하여 보고 예정임 배출량이 적게 발생하는 Scope 1은 추후 데이터 산정하여 보고 예정임 배출량이 적게 발생하고 있는 Scope 1은 추후 데이터 산정하여 보고 예정임 배출량이 적게 발생하고 있는 Scope 1은 추후 데이터 산정하여 보고 예정임 배출량이 적게 발생하고 있는 Scope,e
LED,매장 및 물류센터의 조명시설을 고효율 LED 조명으로 교체하고 있으며 2016년부터 시행된 조명 교체 사업은 매년 사업성 분 석과 대상 점포 선정을 통해 진행된다.,e
폐가전,롯데하이마트는 고객이 처리하기 어려운 대형 폐가전을 신제품 설치 및 배송 시 무상으로 수거하는 서비스를 제공하며 중소형 가전의 배출을 돕고자 2019년 12월 전국 지점을 한국자원순환정보센터 사이트 소형 폐가전 수거처에 등록하고 매장에 수거함을 운영했다.,e
물류센터,본사 및 지사 물류센터 및 일부 매장 본사 및 지사 물류센터 및 일부 매장 본사 및 지사 물류센터 및 일부 매장 포함 본사 및 지사 물류센터 및 일부 매장 포함 본사 및 지사 물류센터 및 일부 매장 포함 본사 및 지사 물류센터 및 일부 매장 포함 본사 및 지사 물류센터 및 일부 매장 포함 본사 및 지사 물류센터 및 일부,e
정보보호,롯데하이마트는 정보보안 관련 사고 0건을 목표로 ISMS2에 부합한 정 보보호 규정 및 지침을 수립하여 준수하고 있으며 최신 그룹 규정 체계와의 일관성 확보를 위한 규정 1종과 지침 4종 체계로 전면 개편하였다.,s
협력사,파트너사와 동반자적 관계를 형성하고 경쟁력 강화를 지원하는 롯데하이마트는 4C 추진체계를 통해 파트너사와 동반자적 관계를 형성하고 경쟁력 강화를 지원하고 있습니다.,s
안전보건,롯데하이마트는 재해 건수 제로화를 목표로 산업 안전보건위원회를 운영하고 있으며 분기별 회의에서 사업장 안전보건을 위 한 각종 활동 심의 및 현황을 공유한다.,s
동반성장,롯데하이마트는 동반성장 아카데미를 운영하여 중소 파트너사가 활용할 수 있는 다양한 교육 프로그램을 제공하고 있으며 교육비 전액을 롯데하이마트에 서 지원하고 있다.,s
임직원,롯데하이마트는 자체 정립한 안전 위기관리 매뉴얼을 운영하고 있으며 코로나19 확산을 막기 위해 사업장 감염병 예방 매뉴얼을 추가하는 등 임직원 안 전관리에 적극 대응하고 있다.,s
근로자,공사 작업 현장 근로자의 안전을 보장하기 위해 수시 점검을 진행하며 안전관리팀은 주 1회 이상 지사는 주 1회 지점은 일 3회 합동 점검을 시행하고 있습니다.,s
프로그램,롯데하이마트는 2021년부터 중소 파트너사의 사업 효율성 강화를 위한 컨설팅 지원 프로그램을 운영해오고 있다.,s
화학물질,전기 소방 파트너사의 경우 관리 시 스템 개선 및 절연유와 기타 유해물질 배출 방지를 목적으로 합동 점검활동 을 시행하고 각 물류센터를 대상으로 취급 가능한 유해 위험 물질의 종류 및 최대 용량을 명시하고 MSDS1 를 부착하도록 권고하고 있습니다.,s
자율준수,롯데하이마트는 공정거래위원회 규정에 따라 CP 담당조직을 운영하고 있으며 CP 총 책임자인 자율준수관리자는 이사회를 통해 선임하도록 하였으며 준법경영부문장이 임명되었습니다.,s
파트너사,롯데하이마트는 1 513개 1 파트너사와 긴밀한 상생협력관계를 맺고 있으며 중소 파트너사의 재정 부담을 줄이고 원활한 자금 운용을 돕기 위해 상품 대 금 전액을 현금으로 지급하고 있다.,s
공정거래,실무에서도 공정거래 준수를 생활화할 수 있도록 2021년 반기 1회 공정거 래 교육을 실시하였고 직책자 교육 시 공정거래 교육을 포함하여 진행하고 있습니다.,s
시스템,롯데하이마트는 직원 인사 발령 시 정책에 따라 보안 시스템 상의 적합한 권한을 부여하고 회수하는 업무를 자동화한 통합계정관리 솔루션을 구축하여 보안 사고의 선제적 예방을 하였다.,s
사업장,전국을 6개 권역으로 나누고 각 권역에 1명씩 안전 담당자를 배치하여 권역별 안전 담당자는 현장 안전 점검 위주의 업무를 수행하며 안전사고 예방에 힘 쏟고 있다.,s
품질관리,해외 소싱 제품의 품질안전 관리를 위해 외국 품질관리기관에 의뢰 품질 테스트를 진행하고 있으며 자체 브 랜드 PB제품에 대해 엄격한 품질관리를 실시하고 있습니다.,s
프로세스,상품 기획부터 론칭 및 운영까지 전 과정에서 품질 관리 6단계 프로세스를 도입했으며 개발 단계에서는 샘플 테스트를 통해 기준을 충족하는 상품을 선정한다.,s
안전사고,직매입을 통한 유통판매업의 특성상 매장과 물류센터에는 안전사고가 발생할 가능성이 있으며 다수의 불특정인이 방문하는 영업장의 파지장과 같이 화재 발생 가능성이 있는 취약지점은 특별 관리가 필요합니다.,s
데이터,임원직 여성이 없었던 2019 2021년 데이터 없음 임원직 여성이 없었던 2019 2021년 데이터 없음 임원직 여성이 없었던 2019 2021년 데이터 없음 임원직 여성이 없었던 2019 2021년 데이터 없음 임원직 여성이 없었던 2019 2021년 데이터 없음 임원직 여성이 없었던 2019 2021년 데이터 없음 임원직 여성이 없었던 2019 2021,s
이사회,사내이사는 상법 제382조에 따라 주주총회에서 선임하며 사내이사는 이사 회에서 경험과 능력 등을 평가해 후보를 추천하고 이사회 의결을 거 쳐 최종 선임하고 있다.,g
사내이사,전문성을 갖춘 사내이사 수 항목의 2020년 수치는 2020년 말 기준으로 사내이사 수 항목의 전문성을 갖춘 사내이사 수 항목의 2020년 수치는 2020년 말 기준으로 사내이사 수 항목의 전문성을 갖춘 사내이사 수 항목의 2020년 수치는 2020년 말 기준으로 사내이사 수 항목의 전문성을 갖춘 사내이사 수 항목의,g
감사위원회,감사기구의 전문성 확보를 위해 위 원 중 1명 이상은 회계 또는 재무전문가로 선임해 전문성을 확보하고 있습니다.,g
위원회,외부감사인을 삼정회계법인에서 안진회계법인으로 변경하여 회계 정보의 공정성과 투명성을 확보하고 있습니다.,g
