keyword,text,label
폐기물,신세계는 사업장에서 발생하는 폐기물로 인한 환경오염 가능성을 억제하기 위해 폐기물 처리 Flow를 마련하고 전사적으로 분리수거를 강화해 나가고 있으며 잔반 줄이기 캠페인을 지속적으로 실시하여 실질적인 환경보호 실천에 힘쓰고 있다.,e
사용량/배출량/온실가스,신세계는 인벤토리 시스템을 구축하여 온실가스 배출량 및 에너지 사용량을 효율적으로 파악하기 위해 운영하고 있다.,e
재활용/업사이클링 ,신세계는 플라스틱의 재활용률을 높이기 위해 다양한 노력을 전개해 나가고 있으며 플라스틱 패키지 재질을 단일화하고 플라스틱을 무색으로 전환하여 재활용 가능한 패키지 설계 비율을 향상시키고자 노력하고 있다.,e
환경경영/기후변화,신세계는 전 세계적으로 기후변화에 대한 인식이 중요해지면서 기업별 기후변화에 대한 대응 필요성이 강화됨에 따라 저탄소 경영 실천 에너지 효율화 제고 등 다양한 노력을 지속적으로 추진하고 있습니다.,e
LED,신세계는 지속적인 전력 절감 아이템을 탐색 검토하고 적용함으로써 에너지 사용을 줄이는데 노력을 기울이고 있으며 지속적인 전력 절감 아이템을 탐색 및 검토하고 적용함으로써 에너지 사용을 줄이는데 노력을 기울이고 있습니다.,e
플라스틱/PET/페트병,자원 선순환 플라스틱 업사이클링 종이 없는 영수증 캠페인 등을 통해 친환경 경영을 적극 실천하고 있는 신세계는 임직원과 고객이 함께 참여할 수 있는 다양한 친환경 캠페인을 추진하고 있다.,e
사업장,신세계는 계절 별 사업장의 조명 공조 온도 등 에너지 운영기준을 수립하여 사업장 전력을 절감할 수 있도록 관리하고 있으며 사업장 오픈 시 재생에너지를 활용할 수 있는 시설을 설치하여 재생에너지를 지속적으로 활용해 오고 있다.,e
지속적/효율화,늘어나는 전기차 사용에 대한 고객의 니즈를 충족하는 동시에 친환경 활동에 동참하기 위해 전기차 충전소 시설을 지속적으로 확충해 나갈 예정 입니다.,e
정보보호/개인정보/정보보안,신세계는 개인정보보호 법규의 안정적 운영과 고객 데이터의 오너십 강화를 위해 정보보호 조직을 구축하여 운영하고 있으며 정보보호 경영방침을 수립하여 임직원 누구나 고객의 개인정보 보호를 기업 경영의 필수요소로 인식할 수 있도록 한다.,s
안전보건/안전사고/관리자/산업재해,신세계는 안전보건담당을 선임하여 중대산업재해와 중대시민재해에 대한 사고예방업무를 체계적으로 관리하고 있으며 안전과 관련된 업무 메뉴얼 및 사내 규정 및 지침을 수립함으로써 사업장에서 이행 관리 될 수 있도록 지속적인 점검을 실시하고 있다.,s
동반성장/협력사/협력회사,신세계는 동반성장 전담 조직을 개설하고 전 임직원의 참여를 독려하는 등 협력회사와 함께 성장하기 위해 노력하며 신세계는 다양한 동반성장 프로그램을 운영하여 협력회사와의 동반성장을 위해 노력하고 있다.,s
임직원/근로자,신세계는 정기적인 안전교육을 실시하고 있으며 교육 외 위기상황 발생 시 즉각적이고 안전한 대처를 위해 대외기관과 협업하는 등 다양한 위기대응훈련을 진행하고 있다.,s
중소기업/프로그램/컨설팅/경쟁력,신세계는 정부 주최의 공개 구매상담회에 적극 참여하고 있으며 구매상담회를 통해 국내 중소기업에게 백화점 입점 노하우 제공 및 판로를 지원하고 있다.,s
품질관리/가이드라인,신세계는 중대재해처벌법 준수와 더불어 시민재해를 예방하기 위해 규정 및 지침을 신규 제정하였다.,s
이사회/대표이사/경영진/사내이사/위원장 ,ESG위원회는 전사 ESG리스크 관리와 비즈니스 기회 확대를 추진하는 최고 협의체입니다.,g
