,date,title,contents,label
0,2020-01-01,피부 철벽같이 보호하는 '철벽녀'…3년 연속 홈쇼핑 화장품 히트상품,‘돌(doll)녀’ 브랜드로 에센스파운데이션 신제품을 CJ오쇼핑과 현대홈쇼핑을 통해 판매할 예정이다. 자외선을 차단해주는 철벽녀 선쿠션파운데이션 개발도 마쳤다. 철벽녀 쿠션파운데이션을 업그레이드한 제품도...,0
1,2020-01-01,쥐띠 유아용품·쥬얼리까지...'럭키 마우스' 쏟아지네,"현대홈쇼핑은 이달 말까지 골드바 경품 이벤트를 열고 이 기간에 방송 상품을 구매하거나 상담 예약한 고객을 대상으로 추첨해 총 10명에게 순금 골드바(18.75g, 5돈)를 각각 제공한다. 귀여운 캐릭터 쥐 콘셉트로 연출한...",0
2,2020-01-01,‘송출수수료↑ 판매수수료↓’…이중고 빠진 홈쇼핑업계 ‘진퇴양난’,"실제로 현대홈쇼핑과 LG유플러스의 경우 지난해 송출수수료를 30% 인상한 데 이어 올해 또다시 20% 인상을 요구하자 정부 기관에 분쟁 조정을 신청했지만, 결국 기존 황금 채널인 10번에서 28번으로 이동했다....",0
3,2020-01-01,깻잎전도사' 김미려 현대홈쇼핑 전격 출연 예고!,오는 7일 티지알앤(grn) 진녹이 첫 론칭 방송이 현대홈쇼핑에서 진행된다. 이날 방송에는 진녹이의 제품 모델인 김미려가 게스트로 출연한다고 밝혔다. 방송에서 선보일 진녹이는 특허 받은 깻잎 추출물과 가르시니아...,0
4,2020-01-01,[편리미엄] 손가락 하나 ‘까딱’…총알배송·진수성찬이 ‘뚝딱’,"2019년 들어서도 GS리테일과 신세계그룹 통합 온라인몰인 쓱닷컴(SSG.COM)이 각각 2월과 6월 뛰어들었고, 롯데홈쇼핑·현대홈쇼핑·CJ(씨제이)오쇼핑 등 홈쇼핑업체들이 7~9월 차례로 진출했다. 2015년 100억원 정도였던...",0
5,2020-01-02,"현대홈쇼핑, 업계 최초 '청송백자 달항아리' 판매",사진=현대홈쇼핑 현대홈쇼핑은 오는 4일 오전 8시 20분부터 '청송백자 달항아리' 론칭 방송을 진행한다고 2일 밝혔다. 홈쇼핑 업계에서 '청송백자'를 판매하는 것은 이번이 처음이다. '청송백자'는 경북 청송군의 대표적인...,0
6,2020-01-02,"현대홈쇼핑, 일자리 창출 대통령 표창 수상",현대홈쇼핑은 ‘2019 일자리창출 유공 정부포상 시상식’에서 단체부문 대통령 표창을 수상했다고 2일 밝혔다. 고용노동부가 주관하는 ‘일자리창출 유공 정부포상’은 일자리를 늘리거나 양질의 일자리 창출을 위해...,2
7,2020-01-02,"[뉴스투데이 E] 현대홈쇼핑, 업계 최초 ‘청송백자 달항아리’ 판매",[뉴스투데이=] 현대홈쇼핑은 홈쇼핑 업계에서 최초로 '청송백자'를 판매한다. 현대홈쇼핑은 오는 4일 오전 8시 20분부터 '청송백자 달항아리' 론칭 방송을 진행한다. '청송백자'는 경북 청송군의 대표적인...,0
8,2020-01-02,뮤지컬 '맘마미아!' 4일 현대홈쇼핑서 티켓판매,뮤지컬 ‘맘마미아!’가 4일 새벽 1시 10분 현대홈쇼핑에서 티켓을 판매한다. 현대홈쇼핑에서 판매되는 티켓은 VIP석과 R석을 화요일부터 금요일까지 사용할 수 있는 ‘주중권’과 화요일부터 일요일까지 모두...,0
9,2020-01-02,"'맘마미아!' 예매권, 현대홈쇼핑서 '보다 빠르게'",뮤지컬 '맘마미아!' 공연 예매권이 현대홈쇼핑에서 판매된다고 신시컴퍼니가 2일 밝혔다. 신시컴퍼니에 따르면 현대홈쇼핑에서 판매되는 티켓은 VIP석과 R석을 화요일부터 금요일까지 사용할 수 있는 '주중권'과...,0
10,2020-01-02,"홈쇼핑 히트 화장품 브랜드(철벽녀) 뷰티피플, '돌(doll)녀' 브랜드와 신제품...",우선 ‘돌(doll)녀’ 브랜드로 에센스 파운데이션 신제품을 CJ오쇼핑과 현대홈쇼핑을 통해 판매할 예정이다.자외선을 차단해주는 ‘철벽녀 선 쿠션 파운데이션’도 개발을 마쳤다. ‘철벽녀 쿠션 파운데이션’을...,0
11,2020-01-02,"뮤지컬 '맘마미아!', 현대홈쇼핑서 최대 50% 할인...좌석 선점 기회","4일 새벽 1시 10분 현대홈쇼핑에서 최정원, 홍지민, 박준면, 남경주가 출연하는 뮤지컬 '맘마미아!' 예매권을 최대 50% 할인된 가격으로 판매한다. '맘마미아!'는 오는 3월 8일 디큐브아트센터에서 앵콜 공연을 갖는다....",0
