keyword,summary,label
폐수 처리장,청주 사업장과 TP공장의 통합폐수처리장을 운영하는 LG생활건강은 물환경보전법에 변경된 유기물 항목 기준에 맞춰 TOC 연속측정 시스템을 구축하여 안정적인 방류 수질을 확보하고 환경사고를 예방하고 있다.,e
친환경 안전,LG생활건강은 화장품 개발의 설계 단계부터 친환경 안전 안심 사회 윤리적 책임 정직한 효능의 가치를 제품에 담을 수 있도록 고유의 기준을 만들어 클린뷰티 제품에 적용하고 있다.,e
탄소 경영,LG생활건강은 2050년까지 탄소중립을 실현하기 위해 공정 온실가스 감축 신재생에너지 도입 전기 수소 차량 도입 투자자 및 고객 정보 제공을 핵심 과제로 선정하여 적극 추진해 나갈 것이다.,e
온실가스 배출,LG생활건강은 온실가스 인벤토리 구축과 에너지관리 시스템의 운영을 통해 기후변화에 대응하고 있으며 2005년부터 국내외 사업장에 대한 온실가스 인벤토리와 기후변화 대응 시스템을 구축하여 전 사업장의 에너지 사용량과 온실가스 배출 현황을 관리하고 있다.,e
친환경 포장재,LG생활건강은 지속가능한 친환경 포장재 구현을 위해 그린제품 심의협의회를 운영해왔으며 CRO를 위원장으로 환경 안전부문이 추진하고 포장연구 디자인 구매 제품 기획 부서가 협의회 로 구성되어 있다.,e
환경 경영,LG생활건강은 500여 개의 협력회사를 대상으로 ESG 역량 강화 활동을 확대해 지속가능한 공급망 구축에도 힘 쓸 것이며 협력 회사 대표와 실무자를 위한 ESG 교육 과정을 신설하고 국내외 ESG 경영 정보를 제공하는 등 컨설팅 활동도 더욱 강화해 나갈 예정이다.,e
플라스틱 재활용,LG생활건강은 재활용된 플라스틱과 자연 유래물질 기반의 플라스틱을 사용한 패키징을 개발 및 적용하여 재활용성의 개선 뿐 아니라 폐기물 발생량과 제품 원가를 절감하는 성과를 거두었습니다.,e
PET 재활용,LG생활건강은 음료에 사용되는 PET 용기의 라벨을 제거하여 재활용성을 높이고 플라스틱 사용량을 저감하였으며 샤프란 1 1 기획세트에 띠 형태의 라벨을 사용하여 기획 포장 형태를 구현하였다.,e
개인정보 관리,LG생활건강은 전사 리스크 관리 차원에서 사이버 보안을 지속적으로 강화하고 있으며 전사 개인정보보호 규정과 더불어 개인정보보호 책임자와 정보보안 전담부서를 운영하며 정보보안 시스템과 프로세스 또한 꾸준히 개선하고 있다.,s
안전 보건,LG생활건강은 글로벌 수준의 안전보건경영 시스템을 기반으로 전사 안전보건 관리체계를 새롭게 구축하고 안전보건 전담조직을 통해 중대재해를 비롯한 안전보건 리스크를 철저히 관리하며 체계적인 안전보건 활동을 펼치고 있다.,s
동반 성장,LG생활건강은 국내 최고의 동반성장 선도 기업이라는 동반성장 비전 실현을 위해 4대 전략 과제와 세부 전략 방향 6대 추진 분야로 구성된 전략 체계를 마련해 추진하고 있다.,s
총회 협력,LG생활건강은 2차 이하 협력회사 지원을 위해 1 2차 협력회사 간의 공정 거래 협약 체결을 독려하고 있으며 표준하도급계약서 도입을 장려하여 합리적이고 투명한 거래 관계를 확보하고 공급망 전체에 공정거래와 상생 협력의 문화를 조성해 나가고 있다.,s
점검 프로제스,LG생활건강은 2021년에도 각 사업장별로 안심품질 진단과 개선을 진행해 다양한 품질 혁신 성과를 거두었는데 신규 유형 제품의 사전 리스크 점검 프로세스를 개선한 것도 의미 있는 성과 중 하나였다.,s
안전 평가,유해물 질분석Lab에서는 관련 부처에서 발표한 유해물질 관련 행정 예고 와 개정 내용을 내부 관리 기준에 포함시켜 법이 시행되기 전에 이슈가 될 수 있는 유해물질 포함 여부를 사전에 검증하고 있다.,s
협력 회사,LG생활건강은 지속가능한 공급망을 구축하기 위해 협력회사의 잠재적 리스크인 ESG 요소에 대해 평가 관리하고 있으며 2021년에는 비대면 방식으로 ESG 평가를 진행하여 협력회사의 ESG 역량 강화를 적극 지원하였다.,s
구성원 건강,LG생활건강은 구성원들의 뇌심혈관계 질환 예방을 위해 레드서클 주간행사를 진행해왔으며 매년 9월 첫째 주를 뇌심혈관계 질환의 위험성을 인식하고 스스로 건강을 관리하는 문화를 함께 만들어가는 주간으로 운영하고 있다.,s
품질 안전,LG생활건강은 내용물 충전 전 고압의 공기를 용기에 불어넣어 용기 내 이물이 잔존할 수 있는 리스크를 제거하는 공정인 세병 공정 개선을 추진했다.,s
품질 관리,LG생활건강은 고객의 안전과 제품의 신뢰를 확보하기 위해 전사적인 안심품질관리 시스템을 구축하고 소비자안심센터를 운영하고 있으며 제품 개발부터 사용까지 포괄하는 라이프 사이클 안심품질 프로세스를 통해 전 과정의 위해성을 체계적으로 관리한다.,s
경영 내부통제,2021년에는 국내외 Core partners와 Key suppliers 협력 회사를 대상으로 웹 기반의 비대면 ESG 평가를 진행하였고 잠재적 리스크가 발견된 협력회사에게는 개선 계획을 수립하도록 권고했으며 개선 이행 여부를 지속적으로 모니터링하고 있다.,s
품질 인증,LG생활건강은 협력회사의 품질 수준을 법규 이상의 도덕적 수준으로 유지하고 품질 사각지대를 최소화하고자 기존 신규 협력회사를 대상으로 안심품질인증 활동을 시행하고 있다.,s
주주총회,감사위원회는 사외이사 4명으로 구성되며 독립성을 보장한다.,g
