keyword,summary,label
업사이클링,GS SHOP의 경우 부직포 의류커버를 업사이클링하여 가방으로 탄생시켜 고객들에게 제공하고 있으며 특히 부직포는 재활용되지 않는 소재로 연간 31만장 이상의 부직포가 일반쓰레기로 폐기되었으나 에코백으로 업사이클링하여 연간 폐기량의 20 를 감축하는 것을 목표로 추진하고 있습니다.,e
쓰레기 절감,편의점에서는 매일 약 2kg 내외 음식물 쓰레기가 발생하고 있는데 이는 자원 낭비 뿐만 아니라 음식물 처리를 위한 비 용 발생 점포 운영 시 악취로 인한 불편함 등의 문제가 있습니다.,e
폐기물 관리,연간 국내 커피 찌꺼기 발생량은 약 30만톤 이상으로 폐기 시 발생하는 비용과 처리 과정의 환경문제 해결에 앞장서겠습니다.,e
파트너 경영,GS리테일은 파트너사의 사회적 책임 이행을 위해 ESG 행동규범을 준수할 것을 권고하고 있으며 정기적으로 준수 여부에 대해 모니터링하고 있다.,s
임직원 안정,GS리테일은 안전한 근무환경 조성과 건강한 삶의 질 향상을 위해 최선을 다하고 있으며 안전한 근무환경을 조성하여 사고 및 재해를 예방하고 모든 임직원의 건강한 삶의 질 향상을 위해 경영방침을 적극 실천한다.,s
전문 심사,GS리테일은 신규 파트너사의 위생 관리 및 위생 상태 점검을 위해 현장 심사를 진행하고 있으며 PB상품과 NB상품으로 구분하여 심사하고 있다.,s
중소 협력,GS리테일은 중소협력사 파트너사 가맹경영주에 재무적 비재무적 지원을 확대해 나가며 지속가능한 유통산업의 성장과 발전을 위해 힘쓰고 있다.,s
분쟁 조정,자율분쟁조정기구는 가맹사업 관련 분쟁 잠재적 갈등의 신속한 해결 가맹경영주와 신뢰 구축을 목적으로 운영하고 있으며 위원장은 외부 전문가를 선임하고 있습니다.,s
교육 지원,직무역량 교육 및 GS리테일의 동반성장 가치 공유 세미나 위생 품질 향상 직무역량 교육 및 식품안전 실천을 다짐하는 대회 온라인 교육 프로그램 지원 HACCP 운영 역량 향상을 위한 위생 관리 및 법규 교육 지원 HACCP 운영 역량 향상을 위한 위생 관리 및 법규 교육 지원 HACCP 운영 역량 향상 위한 위생 관리,s
화학 물질 관리,GS리테일은 주기적으로 당사의 화학물질 관리 프로세스를 점검하고 평가결과를 모니터링하여 관리 체계를 고도화시킬 계획입니다.,s
품질 관리,GS리테일은 FF 제품의 우수한 맛과 품질을 고객에게 제공하기 위해 철저한 품질 위생 관리 기준을 바탕으로 상품의 원재료부터 제조 유통 전 단계를 엄격하게 관리하고 있으며 매월 1회 이상의 품질 위생 점검 및 제품 제조 환경 검사를 진행하고 있다.,s
중소기업 수출,GS리테일은 수출경험이 없는 우수 중소기업의 수출 지원과 현지화를 위해 현지 통관규정에 맞는 상품을 공동으로 개발 진행 중이며 국내 상품개발본부와 협력하여 상품개발 노하우 및 기술을 지원하고 있다.,s
거래 계약,상품별 특성에 따라 초도물량은 상호 협의 하에 진행 계약기간 중 거래조건과 관련하여 변경하 지 않는 것을 원칙 으로 진행 첫 상담시 상품 거래의 전반적인 절차 및 기준 등 파트너사에게 안내 입점 결정 후 거래 계약을 체결하기 위한 필요 사항 안내 및 상호 협의 공정한 매입가격 결정 기준에 따른 제반 거래조건을 파트너사와 협의,s
재계약 지원금,GS리테일은 동종 업계 최초로 가맹점의 조속한 정상화와 영업활동 매진을 위해 약 30.2억원 규모의 일상회복 상생지원금을 가맹점에 일괄 지급하였다.,s
행사 지원,COVID 확산세가 지속됨에 따라 매출이 급격히 하락한 점포를 대상으로 판촉행사 지원하고 있으며 2022년에는 일상회복 지원 판촉으로 명칭을 변경하여 판촉비 지원을 계획하고 있습니다.,s
자금 지원,TV홈쇼핑 방송 및 데이터홈쇼핑 방송 판매 부진 시 해당 협력사의 고통 분담을 위해 분기별로 정해진 기준에 따라 수취한 판매수수료의 일부를 환급해 주는 제도를 운영하고 있습니다.,s
공정 거래,GS리테일은 공정거래 4대 가이드라인을 도입하고 7가지 중점 예방 통제 활동에 대한 점검을 실시하고 있으며 점검 활동의 결과로 사업과 관련한 주요 프로세스에 대한 개선 조치를 완료하였다.,s
근로자 안전,회사는 근로자 의견을 적극 반영하고 사업장의 유해 위험 요소를 지속적으로 점검 제거하여 사고 및 재해를 예방하기 위해 노력한다.,s
소통 제도,중소파트너사의 고충 및 건의사항을 수렴하고 개선하고자 소통제도를 운영하고 있습니다.,s
상품 모니터링,GS리테일은 위해상품 판매차단 시스템을 운영하고 있으며 위해 상품 발생시 전국 점포에서 즉시 상품 판매가 중단되어 고객에게 안전한 구매 정보를 제공하고 있다.,s
