keyword,summary,label
친환경,현대홈쇼핑은 회의실 내에 페이퍼리스 회의 환경을 조성하고 친환경 물류 환경을 구축하는 등 온실가스 배출 감축과 에너지 효율화를 위한 전사적 투자를 추진하고 있다.,e
재활용 포장재,현대홈쇼핑 물류센터에서는 물류 포장재와 관련한 환경 운영 방침을 기반으로 자원순환을 실천하고 있으며 포장재의 소비 및 폐기 과정에서 재활용률을 높이기 위해 포장재 겉면에 재활용 분류 표기를 하여 소비자의 재활용 인식도를 높이고 있다.,e
협력 방송,현대홈쇼핑은 고객 진정성 강화를 위해 Live 데이터 방송으로 판매되는 주얼리 상품에 대해 감정서 발급을 진행하고 있으며 방송 전 후 판매된 주얼리 전량에 대해 감정원 입고 후 전수검사 및 감정서 발급을 운영한다.,s
안전 보건,현대홈쇼핑은 2021년 산업안전보건법상 요구되는 회사 경영방침 및 관리규정을 제정하고 업무와 세부지침을 위한 가이드를 마련했으며 협력사를 포함하여 안전보건 업무별 상세 운영 기준 및 관리 기준을 마련하여 체계적으로 안전보건 현황을 파악하고 위험 요인을 밀착 관리하고 있다.,s
투명 거래,현대홈쇼핑은 모든 협력사를 존중하며 상호협력을 통한 공동발전을 추구하며 당사와 협력사는 상호 신뢰와 소통을 바탕으로 한 상생 파트너로서 공정거래를 기업경영의 중요한 요소로 인지하고 투명한 거래 질서를 확립하고자 노력하고 있다.,s
협력 관리,현대홈쇼핑은 코로나19 장기화로 어려움을 겪고 있는 국내 중소협력사에 보다 실효성 있는 복리후생을 지원하고자 다양한 제도를 운영하고 있으며 협력사의 경쟁력 강화를 위해 품질연구소 주관 협력사 관리 역량 향상 교육을 진행하고 있다.,s
품질 관리,현대홈쇼핑은 상품 사후 관리를 통해 고객에게 더 건강하고 안전한 상품을 제공하기 위해 노력하며 사후 리스크 관리를 위해 고매출 상품 및 이슈상품을 대상으로 자체 진정성 검사를 진행하고 외부 기관 및 언론 보도에 언급된 이슈 상품에 대한 검사를 추가적으로 진행하여 외부 품질 이슈에 대응하고 있다.,s
제품 점검,코로나19 이슈로 해외 제조사에 대한 점검이 제한되어 제품 품질관리를 지속하기 위해 2020년부터 글로벌 시험연구기관 해외 지사 인프라를 활용하여 제조사 위탁 점검을 시행했습니다.,s
방송법 제재,방송통신심의위원회는 방송사업자가 제33조의 심의규정을 위반한 경우 5천만 원 이하의 과징금을 부과하거나 제재조치를 명할 수 있다.,s
임직원 복지,중소협력사 임직원의 생활 안정을 위해 자녀 장학금을 지원하고 있으며 자녀 1인당 최대 5백만 원의 교육비를 지원하고 있습니다.,s
위험평가,현대홈쇼핑은 전 사업장과 사내 협력사를 대상으로 연 1회 정기 위험성평가를 실시하고 중대한 사고 발생 시 수시평가를 실시하고 있다.,s
당사 기업지배구조,현대홈쇼핑은 건전하고 투명한 지배구조 확립에 대한 의지 공표 및 주주 등 모든 이해관계자에게 지배구조에 관한 구체적인 정보를 제공함으로써 신뢰를 확보하기 위해 2019년 8월 기업지배구조 헌장을 신규 제정 하였으며 2022년 2월 1차 개정안을 발표했습니다.,g
업사이클링,GS SHOP의 경우 부직포 의류커버를 업사이클링하여 가방으로 탄생시켜 고객들에게 제공하고 있으며 특히 부직포는 재활용되지 않는 소재로 연간 31만장 이상의 부직포가 일반쓰레기로 폐기되었으나 에코백으로 업사이클링하여 연간 폐기량의 20 를 감축하는 것을 목표로 추진하고 있습니다.,e
쓰레기 절감,편의점에서는 매일 약 2kg 내외 음식물 쓰레기가 발생하고 있는데 이는 자원 낭비 뿐만 아니라 음식물 처리를 위한 비 용 발생 점포 운영 시 악취로 인한 불편함 등의 문제가 있습니다.,e
폐기물 관리,연간 국내 커피 찌꺼기 발생량은 약 30만톤 이상으로 폐기 시 발생하는 비용과 처리 과정의 환경문제 해결에 앞장서겠습니다.,e
파트너 경영,GS리테일은 파트너사의 사회적 책임 이행을 위해 ESG 행동규범을 준수할 것을 권고하고 있으며 정기적으로 준수 여부에 대해 모니터링하고 있다.,s
임직원 안정,GS리테일은 안전한 근무환경 조성과 건강한 삶의 질 향상을 위해 최선을 다하고 있으며 안전한 근무환경을 조성하여 사고 및 재해를 예방하고 모든 임직원의 건강한 삶의 질 향상을 위해 경영방침을 적극 실천한다.,s
전문 심사,GS리테일은 신규 파트너사의 위생 관리 및 위생 상태 점검을 위해 현장 심사를 진행하고 있으며 PB상품과 NB상품으로 구분하여 심사하고 있다.,s
중소 협력,GS리테일은 중소협력사 파트너사 가맹경영주에 재무적 비재무적 지원을 확대해 나가며 지속가능한 유통산업의 성장과 발전을 위해 힘쓰고 있다.,s
분쟁 조정,자율분쟁조정기구는 가맹사업 관련 분쟁 잠재적 갈등의 신속한 해결 가맹경영주와 신뢰 구축을 목적으로 운영하고 있으며 위원장은 외부 전문가를 선임하고 있습니다.,s
교육 지원,직무역량 교육 및 GS리테일의 동반성장 가치 공유 세미나 위생 품질 향상 직무역량 교육 및 식품안전 실천을 다짐하는 대회 온라인 교육 프로그램 지원 HACCP 운영 역량 향상을 위한 위생 관리 및 법규 교육 지원 HACCP 운영 역량 향상을 위한 위생 관리 및 법규 교육 지원 HACCP 운영 역량 향상 위한 위생 관리,s
화학 물질 관리,GS리테일은 주기적으로 당사의 화학물질 관리 프로세스를 점검하고 평가결과를 모니터링하여 관리 체계를 고도화시킬 계획입니다.,s
품질 관리,GS리테일은 FF 제품의 우수한 맛과 품질을 고객에게 제공하기 위해 철저한 품질 위생 관리 기준을 바탕으로 상품의 원재료부터 제조 유통 전 단계를 엄격하게 관리하고 있으며 매월 1회 이상의 품질 위생 점검 및 제품 제조 환경 검사를 진행하고 있다.,s
중소기업 수출,GS리테일은 수출경험이 없는 우수 중소기업의 수출 지원과 현지화를 위해 현지 통관규정에 맞는 상품을 공동으로 개발 진행 중이며 국내 상품개발본부와 협력하여 상품개발 노하우 및 기술을 지원하고 있다.,s
거래 계약,상품별 특성에 따라 초도물량은 상호 협의 하에 진행 계약기간 중 거래조건과 관련하여 변경하 지 않는 것을 원칙 으로 진행 첫 상담시 상품 거래의 전반적인 절차 및 기준 등 파트너사에게 안내 입점 결정 후 거래 계약을 체결하기 위한 필요 사항 안내 및 상호 협의 공정한 매입가격 결정 기준에 따른 제반 거래조건을 파트너사와 협의,s
재계약 지원금,GS리테일은 동종 업계 최초로 가맹점의 조속한 정상화와 영업활동 매진을 위해 약 30.2억원 규모의 일상회복 상생지원금을 가맹점에 일괄 지급하였다.,s
행사 지원,COVID 확산세가 지속됨에 따라 매출이 급격히 하락한 점포를 대상으로 판촉행사 지원하고 있으며 2022년에는 일상회복 지원 판촉으로 명칭을 변경하여 판촉비 지원을 계획하고 있습니다.,s
자금 지원,TV홈쇼핑 방송 및 데이터홈쇼핑 방송 판매 부진 시 해당 협력사의 고통 분담을 위해 분기별로 정해진 기준에 따라 수취한 판매수수료의 일부를 환급해 주는 제도를 운영하고 있습니다.,s
공정 거래,GS리테일은 공정거래 4대 가이드라인을 도입하고 7가지 중점 예방 통제 활동에 대한 점검을 실시하고 있으며 점검 활동의 결과로 사업과 관련한 주요 프로세스에 대한 개선 조치를 완료하였다.,s
근로자 안전,회사는 근로자 의견을 적극 반영하고 사업장의 유해 위험 요소를 지속적으로 점검 제거하여 사고 및 재해를 예방하기 위해 노력한다.,s
소통 제도,중소파트너사의 고충 및 건의사항을 수렴하고 개선하고자 소통제도를 운영하고 있습니다.,s
상품 모니터링,GS리테일은 위해상품 판매차단 시스템을 운영하고 있으며 위해 상품 발생시 전국 점포에서 즉시 상품 판매가 중단되어 고객에게 안전한 구매 정보를 제공하고 있다.,s
품질 관리,신선식품은 GS리테일 입고 기준 이상의 고품질 상품만 입고되도록 관리하고 점포 입고 기준에 미달된 상품은 해피콜 접수를 통해 교환 및 회송 을 진행하고 있습니다.,s
품질 관리,GS리테일은 고품질의 신선한 식품을 공급하기 위해 산지 물류 점포 입고 판매까지 전단계에서 상품의 선도를 관리하고 있으며 정기적으로 매장에 방문하여 법규 및 선도 준수 여부를 점검하고 근무자 및 가맹 경영주의 위생 및 선도 인식 제고를 위해 지속적으로 교육 및 위생관리 캠페인을 진행하고 있습니다.,s
정보 보안,GS리테일은 통합 이후 심사를 통해 정보보호 및 개인정보보호 관리체계 인증인 ISMSP를 획득했다.,s
정보 보호,GS리테일은 고객 정보보호를 중요시하며 이를 실천하기 위한 다양한 활동을 진행하고 있다.,s
이사회 구성,GS리테일은 투명하고 건전한 지배구조 확립을 통해 지속가능한 의사결정 체계를 마련하고 있으며 대표이사와 이사회 의장을 분리하여 이사회 독립성을 강화하고 이사회 산하에 위원회를 두어 전문성을 제고하고 있다.,g
친환경 연계,친환경 제조 소셜 벤처 교육 및 창업 지원 바자회 및 물품기부 Upcycling 캠페인 등 온실가스 감축 노력 진행 지하주차장 LED조명 교체 무선마이크 충전식 변경 친환경 소모품 도입 우딜 활성화를 위한 시스템 개발 및 투자 사옥 비품 집기 및 매장 친환경 소모품 도입 등 사회공헌 사업 추진 친환경 제조 소셜 벤처 교육 및 창업 지원,g
경영 보수,GS리테일은 상법 제388조에 의거하여 이사 보수한도를 주주총회 결의 로 정하고 승인된 보수한도 범위 내에서 직무수행의 책임 위험 성 투입시간 등을 고려하여 집행하고 있다.,g
폐수 처리장,청주 사업장과 TP공장의 통합폐수처리장을 운영하는 LG생활건강은 물환경보전법에 변경된 유기물 항목 기준에 맞춰 TOC 연속측정 시스템을 구축하여 안정적인 방류 수질을 확보하고 환경사고를 예방하고 있다.,e
친환경 안전,LG생활건강은 화장품 개발의 설계 단계부터 친환경 안전 안심 사회 윤리적 책임 정직한 효능의 가치를 제품에 담을 수 있도록 고유의 기준을 만들어 클린뷰티 제품에 적용하고 있다.,e
탄소 경영,LG생활건강은 2050년까지 탄소중립을 실현하기 위해 공정 온실가스 감축 신재생에너지 도입 전기 수소 차량 도입 투자자 및 고객 정보 제공을 핵심 과제로 선정하여 적극 추진해 나갈 것이다.,e
