date,abstract,pre_label,sentiment,score,sent_range,model_keyword,corpus_keyword
2021-12-31,저주받은 색조 양극화 기초 화장품 훨훨 [사진=LG생활건강] 비건 화장품 인기 세계 소비 트렌드로 2021년 가장 핫한 키워드는 단연 비건(100% 동물성 배제)이다. 비건은 단순히 식품뿐만 아니라 화장품 패션 유통까지 올해를 뒤흔들었다. 비건 화장품 시장 또한...,0,0,2.1755848,약한부정,0,0
2021-12-31,"GS샵, '신년맞이 특가여행' 제주신화월드 메리어트관 단독 판매 테마파크, 워터파크, 신세계사이먼 프리미엄 전문점, 40개가 넘는 다양한 식음업장이 있어 완벽한 호캉스를 보낼 수 있다 .GS샵은 '제주신화월드' 내에서도 프리미엄관인 '메리어트관'을 업계 단독으로 선보인다. 1박...",0,0,3.644483,강한부정,0,0
2021-12-31,"롯데하이마트, 신년맞이 '2022 새단장 SALE' 행사 롯데하이마트가 임진년 새해를 맞아 1월 한 달간 다양한 온·오프라인 행사를 펼친다고 밝혔다. 우선 오프라인 매장에서는 ‘2022 새단장 SALE’을 진행한다. 매장에서 행사카드로 구매하면 캐시백이나 장기 무이자...",0,0,4.0462165,보통부정,0,0
2022-01-03,"GS리테일, New Vision 선포 및 2022년 경영전략 밝표 허연수 GS리테일 CEO가 유튜브로 중계되는 비전 선포식에서 주요 임원들이 참석한 가운데 신년사를 발표하고 있다.(사진=GS리테일) GS리테일이 통합 법인의 새로운 비전(New Vision) 선포와 함께 2022년 임인년 경영전략을...",0,1,2.0506375,중립,0,0
2022-01-03,"[일상으로 들어온 피지털] VR로 매장 구경하고 옷 피팅…온·오프 장점만 '쏙... 신세계는 '익스프레쓱'을, 롯데온은 '스마트픽'을 런칭했다. 자사 온라인 쇼핑몰에서 주문한 상품을 매장에서 직접 확인·수령하는 서비스다. 온라인 혜택을 챙김과 동시에 현장에서 사이즈 교환과 수선이 가능하다....",1,0,3.3761132,강한부정,두산인프라코 회장, 
2022-01-03,"""고객지향 기술혁신이 삼성전자 존립 근간"" 유통업계 라이벌인 신동빈 롯데 회장과 정용진 신세계 부회장은 '시도조차 하지 않은 샷은 100% 빗나간다'는 캐나다 아이스하키 선수 웨인 그레츠키의 말을 나란히 인용하며 도전정신과 실패도 포용하는 조직문화의...",1,1,2.0506375,중립,허니버터칩 브랜드,플라스틱
2022-01-03,"LG생건·아모레퍼시픽, 올해 글로벌·디지털로 '도약' 우선 LG생활건강은 '뷰티 사업에 역량 집중'과 '북미 시장 중심의 해외사업 확장', '디지털 역량 강화' 등을 올해 중점 추진 사항으로 제시했다. 차석용 LG생활건강 부회장은 ""사업 확장 가능성이 큰 글로벌 뷰티 시장에서...",0,0,3.3612044,보통부정,0,0
2022-01-03,"새해 첫 황제주 누가 될까?…F&F·삼성바이오로직스 도전 이날 삼성바이오로직스는 91만1000원에 장을 마감했다. 유가증권시장, 코스닥, 코넥스를 합쳐 국내 상장된 2300여 개 종목 중 현재 주가가 주당 100만원을 넘은 것은 LG생활건강, 태광산업 두 종목뿐이다.",0,0,3.3353972,보통부정,0,0
2022-01-03,"차석용 LG생건 부회장, ""고객 감동 실현하는 명품 뷰티 회사"" 우먼타임스 = 심은혜 기자 ""우리가 제공한 가치를 고객이 경험하고, 또 그 경험에 감동할 때 우리 목표에 더 가까이 다가갈 수 있다."" 차석용 LG생활건강 부회장은 3일 온라인으로 발표한 신년사에서 ""집요한 혁신을 통해...",0,1,2.0506375,중립,0,0
2022-01-03,"뷰티 업계 신년사 발표...차석용 부회장 ""세계적 명품 회사로"" 서경배 회장 ""... 지난해 뷰티 시장에서 치열한 경쟁을 벌인 LG생활건강 차석용 부회장과 아모레 퍼시픽 서경배 회장이 각각 신년사를 발표했다. 차 부회장은 '세계적인 명품 뷰티 회사로 도약하겠다'는 포부를 드러냈다. 서 회장은 일상...",0,0,2.2064836,약한부정,0,0
2022-01-03,"유통가, 임인년 맞아 호랑이 마케팅 '열기' 신세계백화점은 임인년을 맞아 전 점에서 지난해 12월부터 프리미엄 유아동 브랜드 '에뜨와'와 호랑이 일러스트 브랜드 '무직타이거'가 협업한 아동복을 판매 중이다. 식품업체도 호랑이 마케팅을 활발히 전개하고 있다....",0,1,2.1691642,약한긍정,0,0
