com,text,url
현대홈쇼핑,1)   지속가능경영보고서 등 관련사항(자율공시) (2022.11.08),https://kind.krx.co.kr/common/disclsviewer.do?method=search&acptno=20221108000292&docno=&viewerhost=&viewerport=
현대홈쇼핑,2)   기업지배구조 보고서 공시(2022.05.31) ,https://kind.krx.co.kr/common/disclsviewer.do?method=search&acptno=20220531000275
신세계,1)   지속가능경영보고서 등 관련사항(자율공시) (2022.06.29),https://kind.krx.co.kr/common/disclsviewer.do?method=search&acptno=20220629000518&docno=&viewerhost=&viewerport=
신세계,2)   기업지배구조보고서 공시(2022.05.31),https://kind.krx.co.kr/common/disclsviewer.do?method=search&acptno=20220531000521
LG생활건강,1)   지속가능경영보고서 등 관련사항(자율공시) (2022.08.11),https://kind.krx.co.kr/common/disclsviewer.do?method=search&acptno=20220811000356&docno=&viewerhost=&viewerport=
LG생활건강,2)   기업지배구조보고서 공시(2022.05.31),https://kind.krx.co.kr/common/disclsviewer.do?method=search&acptno=20220531000709
GS리테일,1)   지속가능경영보고서 등 관련사항(자율공시) (2022.07.04),https://kind.krx.co.kr/common/disclsviewer.do?method=search&acptno=20220704000597&docno=&viewerhost=&viewerport=
GS리테일,"2)   기업지배구조보고서 공시(GS, 2022.05.31)",https://kind.krx.co.kr/common/disclsviewer.do?method=search&acptno=20220531000140
롯데하이마트,1)   지속가능경영보고서 등 관련사항(자율공시) (2022.06.24),https://kind.krx.co.kr/common/disclsviewer.do?method=search&acptno=20220624000069&docno=&viewerhost=&viewerport=
롯데하이마트,2)   기업지배구조보고서 공시(2022.05.31),https://kind.krx.co.kr/common/disclsviewer.do?method=search&acptno=20220531000805
